Par,9274,290432,1084062,45449,148884,233792,17516,1213359,152720,4610,96067,161718,1192224,3751973,7307684,127,2802,12167,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Guamá,398,10574,23592,187,156,317,125,7400,3169,255,5400,9877,0,0,0,0,0,0,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,1752.0
Castanhal,30,900,1800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,400.0
Colares,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,5.0
Curuçá,45,1089,2472,-,-,-,-,-,-,35,770,1463,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,20.0
Igarapé-Açu,5,125,276,-,-,-,15,900,428,80,1760,3485,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,80.0
Inhangapi,30,920,1892,5,10,20,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,10.0
Magalhães Barata,-,-,-,10,6,13,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,30.0
Maracanã,20,433,878,40,20,39,-,-,-,30,660,894,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,200.0
Marapanim,13,325,773,20,17,32,-,-,-,60,1320,2767,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,40.0
Santa Izabel do Pará,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri guama.xlsx",Guamá,21320,
