Par,45314,2472,6343,1119,11395,5430,2308,29067,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Guamá,4052.0,253.0,571.0,88.0,1060.0,406.0,178.0,2556.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
Castanhal,1186.0,84.0,194.0,32.0,328.0,112.0,54.0,804.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
Colares,79.0,4.0,10.0,2.0,19.0,11.0,3.0,49.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
Curuçá,241.0,15.0,33.0,3.0,60.0,26.0,8.0,145.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
Igarapé-Açu,251.0,11.0,33.0,5.0,67.0,31.0,21.0,168.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
Inhangapi,60.0,3.0,13.0,0.0,20.0,6.0,4.0,46.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
Magalhães Barata,47.0,5.0,9.0,1.0,7.0,7.0,2.0,31.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
Maracanã,173.0,10.0,31.0,6.0,44.0,20.0,3.0,114.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
Marapanim,194.0,16.0,29.0,3.0,43.0,22.0,11.0,124.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
Santa Izabel do Pará,359.0,30.0,43.0,8.0,94.0,37.0,10.0,222.0,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá
