EstadoMunicpio,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,1980,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,25557665.0
RI Guamá,0,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,298758.0
Castanhal,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,51550.0
Colares,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,1136.0
Curuçá,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,2732.0
Igarapé-Açu,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,21888.0
Inhangapi,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,13041.0
Magalhães Barata,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,2012.0
Maracanã,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,3540.0
Marapanim,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,5189.0
Santa Izabel do Pará,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,32330.0
Santa Maria do Pará,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,21722.0
Santo Antônio do Tauá,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,6204.0
São Caetano de Odivelas,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,4643.0
São Domingos do Capim,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,54235.0
São Francisco do Pará,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,22916.0
São João da Ponta,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,1290.0
São Miguel do Guamá,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,42836.0
Terra Alta,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,7132.0
Vigia,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,4362.0
Fonte: IBGE/PPM,,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,
Elaboração: FAPESPA,,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bovino,
Pará,1980,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bubalino,775075.0
RI Guamá,0,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bubalino,2418.0
Castanhal,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bubalino,380.0
Colares,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bubalino,9.0
Curuçá,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bubalino,
Igarapé-Açu,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bubalino,15.0
Inhangapi,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bubalino,236.0
Magalhães Barata,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá,Bubalino,10.0
