EstadoMunicpios,Ovos_de_codorna_Mil_dzias,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Elaboração: FAPESPA,,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Leite_Mil_litros,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Leite_Mil_litros,
Pará,29,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,39437.0
RI Guamá,0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,23852.0
Castanhal,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,224.0
Colares,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,2.0
Curuçá,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,502.0
Igarapé-Açu,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,34.0
Inhangapi,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,29.0
Magalhães Barata,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,4.0
Maracanã,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,356.0
Marapanim,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,16.0
Santa Izabel do Pará,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,14520.0
Santa Maria do Pará,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,59.0
Santo Antônio do Tauá,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,6000.0
São Caetano de Odivelas,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Ovos_de_galinha_Mil_dzias,32.0
