EstadoMunicpios,bitos_de_Jovens_por_Agresso_,Populao_Jovem_de_15_a_29_anos,Taxa_de_Homicdio_de_Jovens_100000_hab,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1026.0,2269457.0,4520905220940516.0,6 Guamá,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama.xlsx",Guamá
RI Guamá,52.0,178402.0,2.9147655295344224e+16,6 Guamá,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama.xlsx",Guamá
Castanhal,21.0,53482.0,3926554728693766.0,6 Guamá,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama.xlsx",Guamá
Colares,0.0,3287.0,0.0,6 Guamá,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama.xlsx",Guamá
Curuçá,5.0,11209.0,4460701222232135.0,6 Guamá,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama.xlsx",Guamá
Igarapé-Açu,3.0,9425.0,3183023872679045.0,6 Guamá,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama.xlsx",Guamá
Inhangapi,0.0,2745.0,0.0,6 Guamá,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama.xlsx",Guamá
Magalhães Barata,0.0,1928.0,0.0,6 Guamá,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama.xlsx",Guamá
Maracanã,0.0,6784.0,0.0,6 Guamá,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama.xlsx",Guamá
Marapanim,0.0,6282.0,0.0,6 Guamá,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri guama.xlsx",Guamá
