Par,1445663,27792,117832,9307,99624,261547,444602,423642,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Guamá,90117.0,5,15776.0,375,2178.0,20927.0,17209.0,25628.0,8019.0,6 Guamá,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama.xlsx,Guamá
Castanhal,42659.0,-,9123.0,199,1662.0,12799.0,12364.0,5375.0,1137.0,6 Guamá,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama.xlsx,Guamá
Colares,580.0,-,1.0,-,2.0,67.0,23.0,473.0,14.0,6 Guamá,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama.xlsx,Guamá
Curuçá,2098.0,-,154.0,3,55.0,345.0,85.0,1359.0,97.0,6 Guamá,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama.xlsx,Guamá
Igarapé-Açu,2821.0,-,288.0,9,16.0,776.0,282.0,798.0,652.0,6 Guamá,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama.xlsx,Guamá
Inhangapi,1143.0,-,346.0,-,44.0,21.0,52.0,541.0,139.0,6 Guamá,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama.xlsx,Guamá
Magalhães Barata,1486.0,-,,10,3.0,22.0,8.0,1431.0,12.0,6 Guamá,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama.xlsx,Guamá
Maracanã,3203.0,-,4.0,-,14.0,60.0,261.0,2680.0,184.0,6 Guamá,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama.xlsx,Guamá
Marapanim,2282.0,-,11.0,9,2.0,208.0,58.0,1945.0,49.0,6 Guamá,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama.xlsx,Guamá
Santa Izabel do Pará,11883.0,-,2365.0,30,137.0,3112.0,1552.0,1118.0,3569.0,6 Guamá,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 -ri  guama.xlsx,Guamá
