Par,col,1,3344,437,3782,1_2,19,6505,681,7206,3,480,7663,747,8893,21,718,2,261,1002,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Guamá,-,-,428.0,45,473.0,-,-,667.0,59,726.0,-,54,745.0,65,864.0,2,76.0,-,22,100.0,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá
Castanhal,-,-,12.0,22,34.0,-,-,52.0,31,83.0,-,12,63.0,36,111.0,1,16.0,-,14,31.0,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá
Colares,-,-,22.0,-,22.0,-,-,24.0,-,24.0,-,5,24.0,-,29.0,-,6.0,-,-,6.0,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá
Curuçá,-,-,38.0,1,39.0,-,-,41.0,1,42.0,-,4,49.0,2,55.0,-,6.0,-,-,6.0,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá
Igarapé-Açu,-,-,8.0,2,10.0,-,-,43.0,3,46.0,-,10,47.0,4,61.0,-,6.0,-,2,8.0,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá
Inhangapi,-,-,,-,,-,-,8.0,-,8.0,-,1,11.0,-,12.0,-,2.0,-,-,2.0,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá
Magalhães Barata,-,-,17.0,-,17.0,-,-,15.0,-,15.0,-,2,18.0,-,20.0,-,3.0,-,-,3.0,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá
Maracanã,-,-,66.0,-,66.0,-,-,76.0,-,76.0,-,-,80.0,-,80.0,-,3.0,-,-,3.0,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá
Marapanim,-,-,32.0,2,34.0,-,-,48.0,2,50.0,-,-,52.0,1,53.0,-,3.0,-,-,3.0,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá
Santa Izabel do Pará,-,-,33.0,5,38.0,-,-,37.0,6,43.0,-,-,40.0,6,46.0,-,5.0,-,3,8.0,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá
