EstadoMunicpios,Total,Automvel,Caminho,Caminho_trator,Caminhonete,Camioneta,Ciclomotor,Micronibus,Motocicleta,Motoneta,nibus,Reboque,Semireboque,Triciclo,Utilitrio,Outros,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2810011.0,765312.0,75715.0,15876.0,226197.0,56188.0,7819.0,7791.0,1219628.0,314301.0,22536.0,40209.0,26496.0,2846.0,28103.0,994.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
RI Guamá,221032.0,58409.0,7123.0,1549.0,14707.0,3007.0,605.0,709.0,95166.0,28056.0,1843.0,5900.0,2052.0,96.0,1703.0,107.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
Castanhal,109704.0,31834.0,3353.0,871.0,7380.0,1576.0,375.0,220.0,43699.0,14179.0,497.0,3338.0,1213.0,52.0,1063.0,54.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
Colares,1207.0,234.0,18.0,2.0,69.0,8.0,0.0,0.0,727.0,121.0,8.0,15.0,1.0,0.0,2.0,2.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
Curuçá,5409.0,1350.0,79.0,1.0,318.0,75.0,3.0,14.0,2957.0,432.0,38.0,122.0,0.0,4.0,14.0,2.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
Igarapé-Açu,12148.0,3241.0,519.0,96.0,987.0,146.0,11.0,129.0,4767.0,1628.0,215.0,219.0,94.0,2.0,93.0,1.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
Inhangapi,2192.0,500.0,50.0,12.0,173.0,20.0,0.0,9.0,1159.0,168.0,38.0,31.0,22.0,0.0,9.0,1.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
Magalhães Barata,777.0,174.0,12.0,0.0,52.0,11.0,0.0,10.0,426.0,58.0,16.0,16.0,1.0,0.0,1.0,0.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
Maracanã,2558.0,522.0,42.0,1.0,183.0,26.0,0.0,24.0,1377.0,255.0,74.0,44.0,1.0,0.0,7.0,2.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
Marapanim,3303.0,881.0,53.0,1.0,160.0,32.0,3.0,15.0,1736.0,275.0,49.0,84.0,1.0,1.0,12.0,0.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
Santa Izabel do Pará,27328.0,6943.0,1095.0,223.0,1569.0,444.0,119.0,102.0,11802.0,3644.0,239.0,687.0,278.0,14.0,149.0,20.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
Santa Maria do Pará,10249.0,2659.0,624.0,155.0,863.0,134.0,9.0,38.0,3792.0,1078.0,127.0,492.0,162.0,4.0,109.0,3.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
Santo Antônio do Tauá,6488.0,1613.0,176.0,18.0,408.0,97.0,16.0,29.0,3002.0,784.0,126.0,153.0,32.0,6.0,25.0,3.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
São Caetano de Odivelas,2265.0,467.0,31.0,0.0,147.0,35.0,1.0,3.0,1228.0,299.0,18.0,28.0,0.0,3.0,4.0,1.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
São Domingos do Capim,3027.0,619.0,64.0,1.0,213.0,29.0,0.0,0.0,1895.0,109.0,47.0,42.0,1.0,0.0,5.0,2.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
São Francisco do Pará,4680.0,1224.0,190.0,63.0,413.0,65.0,3.0,43.0,2027.0,430.0,41.0,92.0,54.0,0.0,33.0,2.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
São João da Ponta,646.0,162.0,12.0,5.0,45.0,8.0,0.0,2.0,322.0,33.0,11.0,26.0,11.0,0.0,7.0,2.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
São Miguel do Guamá,16332.0,3176.0,624.0,94.0,990.0,121.0,45.0,25.0,8695.0,1784.0,159.0,313.0,174.0,5.0,121.0,6.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
Terra Alta,2054.0,591.0,33.0,2.0,129.0,29.0,6.0,16.0,1037.0,123.0,21.0,56.0,1.0,0.0,8.0,2.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
Vigia,10665.0,2219.0,148.0,4.0,608.0,151.0,14.0,30.0,4518.0,2656.0,119.0,142.0,6.0,5.0,41.0,4.0,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
Fonte: DENATRAN,,,,,,,,,,,,,,,,,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
"Nota1: Outros inclui: Chassi Plataf, Quadriciclo, Side-Car, Trator de Rodas, Trator Esteira, Sem identificação e Não Identificado.",,,,,,,,,,,,,,,,,6 Guamá,51,Total da Frota de Veículos por Tipo - 2024 ri guamá,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guamá.xlsx,Guamá
