EstadoMunicpios,Populao_Estimada_Total__2025,rea_Territorial_km__2024,Densidade_Demogrfica_habkm,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1.2458288319999992e+16,6.992289611740183e+16,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá
RI Guamá,704891.0,11524933.0,6116226445741593.0,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá
Castanhal,209126.0,10293.0,2.0317303021470904e+16,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá
Colares,13625.0,384068.0,3547548871553996.0,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá
Curuçá,44880.0,676322.0,6635892370793793.0,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá
Igarapé-Açu,37925.0,785983.0,4.825167974370947e+16,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá
Inhangapi,10784.0,472605.0,2281820971001153.0,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá
Magalhães Barata,8439.0,323984.0,2.6047582596671444e+16,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá
Maracanã,27129.0,807628.0,3359096019454501.0,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá
Marapanim,28159.0,804625.0,3499642690694423.0,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá
