EstadoMunicpios,PIB_R_1000,Populao,PIB_Per_capita,Razo_PIB_Per_capita_entre_Municpio_e_Par_R_100,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
São Caetano de Odivelas,241828535.0,16666.0,1451029.0,4.636502792711212e+16,6 Guamá,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama.xlsx",Guamá
São Domingos do Capim,654079167.0,30599.0,2137583.0,6830262902500234.0,6 Guamá,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama.xlsx",Guamá
São Francisco do Pará,359790379.0,14894.0,2415673.0,7718849596236237.0,6 Guamá,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama.xlsx",Guamá
São João da Ponta,7928672.0,4430.0,1789768.0,5718882482917406.0,6 Guamá,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama.xlsx",Guamá
São Miguel do Guamá,1132578033.0,52894.0,2141222.0,6841890674007678.0,6 Guamá,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama.xlsx",Guamá
Terra Alta,114730932.0,10400.0,1103182.0,3525020122870556.0,6 Guamá,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama.xlsx",Guamá
Vigia,602141261.0,50832.0,1184571.0,3785084067695899.0,6 Guamá,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama.xlsx",Guamá
Fonte: FAPESPA/IBGE,,,,,6 Guamá,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama.xlsx",Guamá
Elaboração: FAPESPA,,,,,6 Guamá,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama.xlsx",Guamá
"NOTA:  Para o cálculo do PIB per capita de 2023, por Unidade da Federação e por Município, foi utilizada a população da publicação ‘Relação da população residente dos Municípios enviada para o TCU em 2023’",,,,,6 Guamá,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guama.xlsx",Guamá
