Par,48,42,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Guamá,4416666666666666.0,4044444444444444.0,6 Guamá,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama.xlsx,Guamá
Castanhal,46.0,44.0,6 Guamá,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama.xlsx,Guamá
Colares,47.0,44.0,6 Guamá,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama.xlsx,Guamá
Curuçá,43.0,42.0,6 Guamá,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama.xlsx,Guamá
Igarapé-Açu,43.0,42.0,6 Guamá,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama.xlsx,Guamá
Inhangapi,4.0,44.0,6 Guamá,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama.xlsx,Guamá
Magalhães Barata,44.0,37.0,6 Guamá,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama.xlsx,Guamá
Maracanã,5.0,39.0,6 Guamá,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama.xlsx,Guamá
Marapanim,46.0,38.0,6 Guamá,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama.xlsx,Guamá
Santa Izabel do Pará,45.0,43.0,6 Guamá,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri guama.xlsx,Guamá
