EstadoMunicpios,PIB_R_1000,Ranking_Estadual,Ranking_Regional,Partipao_no_Par_,Partipao_na_Regio_,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,,,100.0,,6 Guamá,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama.xlsx",Guamá
RI Guamá,14857088622.0,5.0,,5836689158329637.0,100.0,6 Guamá,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama.xlsx",Guamá
Castanhal,6318090753.0,8.0,1.0,2482096778016906.0,4252576607535565.0,6 Guamá,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama.xlsx",Guamá
Colares,136193895.0,135.0,15.0,5.35045223597902e+16,9166930242196142.0,6 Guamá,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama.xlsx",Guamá
Curuçá,485458161.0,89.0,9.0,1907149144237866.0,3.2675187807734144e+16,6 Guamá,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama.xlsx",Guamá
Igarapé-Açu,599285535.0,73.0,7.0,2.354326257231015e+16,4033667364093079.0,6 Guamá,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama.xlsx",Guamá
Inhangapi,230529658.0,125.0,14.0,9056484683880880.0,1.5516475930461742e+16,6 Guamá,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama.xlsx",Guamá
Magalhães Barata,121850919.0,138.0,16.0,4786980517883340.0,8201534102688615.0,6 Guamá,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama.xlsx",Guamá
Maracanã,361785781.0,101.0,10.0,1.421295382510992e+16,2.4351054920967276e+16,6 Guamá,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama.xlsx",Guamá
Marapanim,333940999.0,111.0,12.0,1.311905621602657e+16,224768800601693.0,6 Guamá,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guama.xlsx",Guamá
