EstadoMunicpio,Creche,PrEscola,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,161.0,178.0,214.0,301.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
RI Guamá,1.3429411764705884e+16,1508888888888889.0,1.930555555555556e+16,2847222222222222.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
Castanhal,13.0,19.0,246.0,315.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
Colares,128.0,136.0,198.0,245.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
Curuçá,135.0,17.0,21.0,31.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
Igarapé-Açu,137.0,151.0,192.0,265.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
Inhangapi,,166.0,202.0,28.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
Magalhães Barata,119.0,128.0,175.0,272.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
Maracanã,118.0,124.0,148.0,24.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
Marapanim,117.0,136.0,166.0,264.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
Santa Izabel do Pará,158.0,178.0,231.0,333.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
Santa Maria do Pará,162.0,165.0,189.0,303.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
Santo Antônio do Tauá,162.0,135.0,179.0,285.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
São Caetano de Odivelas,151.0,16.0,179.0,255.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
São Domingos do Capim,131.0,142.0,177.0,302.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
São Francisco do Pará,13.0,13.0,172.0,281.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
São João da Ponta,113.0,125.0,191.0,28.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
São Miguel do Guamá,135.0,141.0,199.0,341.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
Terra Alta,99.0,158.0,206.0,27.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
Vigia,158.0,181.0,215.0,284.0,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
Fonte: MEC - INEP,,,,,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
Elaboração: FAPESPA,,,,,6 Guamá,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guama.xlsx,Guamá
