EstadoMunicpios,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,215.0,311.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
RI Guamá,2249444444444445.0,356.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
Castanhal,205.0,298.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
Colares,193.0,326.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
Curuçá,202.0,362.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
Igarapé-Açu,203.0,341.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
Inhangapi,236.0,446.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
Magalhães Barata,232.0,353.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
Maracanã,217.0,376.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
Marapanim,217.0,399.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
Santa Izabel do Pará,16.0,299.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
Santa Maria do Pará,247.0,35.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
Santo Antônio do Tauá,219.0,379.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
São Caetano de Odivelas,257.0,346.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
São Domingos do Capim,371.0,39.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
São Francisco do Pará,241.0,406.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
São João da Ponta,158.0,286.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
São Miguel do Guamá,301.0,391.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
Terra Alta,186.0,332.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
Vigia,204.0,328.0,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
Fonte: MEC - INEP,,,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
Elaboração: FAPESPA,,,6 Guamá,10,Distorção idade-série total por nível de Ensino - 2024 ri guama,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri guama.xlsx,Guamá
