EstadoMunicpios,Leite_Mil_litros,Ovos_de_galinha_Mil_dzias,Ovos_de_codorna_Mil_dzias,Mel_de_abelha_Quilogramas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,511007.0,39437.0,29,745689.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
RI Guamá,4376.0,23852.0,0,126125.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Castanhal,2700.0,224.0,-,15000.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Colares,10.0,2.0,-,15000.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Curuçá,16.0,502.0,-,4020.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Igarapé-Açu,233.0,34.0,-,7560.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Inhangapi,70.0,29.0,-,4500.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Magalhães Barata,14.0,4.0,-,85.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Maracanã,19.0,356.0,-,3900.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Marapanim,14.0,16.0,-,755.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Santa Izabel do Pará,470.0,14520.0,-,10000.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Santa Maria do Pará,155.0,59.0,-,15250.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Santo Antônio do Tauá,28.0,6000.0,-,3500.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
São Caetano de Odivelas,20.0,32.0,-,30000.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
São Domingos do Capim,176.0,18.0,-,655.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
São Francisco do Pará,168.0,819.0,-,3050.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
São João da Ponta,4.0,28.0,-,1350.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
São Miguel do Guamá,160.0,59.0,-,7650.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Terra Alta,39.0,24.0,-,1850.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Vigia,80.0,1126.0,-,2000.0,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Fonte: IBGE/PPM,,,,,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Elaboração: FAPESPA,,,,,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá
