Par,118515,3181875711935198,8295152512340211,23502510230772476,6234231953761127,2678142007340843,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
São Caetano de Odivelas,167.0,4191616766467066.0,4191616766467066.0,2694610778443114.0,6407185628742515.0,5988023952095809.0,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
São Domingos do Capim,432.0,4166666666666666.0,3.4722222222222224e+16,1.6203703703703702e+16,761574074074074.0,0.0,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
São Francisco do Pará,206.0,1.9417475728155336e+16,3.883495145631068e+16,1.1165048543689322e+16,8203883495145631.0,9708737864077668.0,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
São João da Ponta,82.0,0.0,2.4390243902439024e+16,2073170731707317.0,7682926829268293.0,0.0,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
São Miguel do Guamá,816.0,2.32843137254902e+16,3.92156862745098e+16,1.9607843137254904e+16,7340686274509804.0,7352941176470588.0,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
Terra Alta,172.0,1744186046511628.0,2.3255813953488372e+16,1.9186046511627908e+16,7674418604651163.0,0.0,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
Vigia,513.0,1111111111111111.0,8966861598440545.0,2.8654970760233916e+16,4.970760233918129e+16,1.5594541910331384e+16,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
Fonte: DATASUS,,,,,,,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
Elaboração: FAPESPA,,,,,,,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
