EstadoMunicpio,Receita_Oramentria,Receita_Corrente,Receita_de_Transferncias_Correntes,Impostos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,5873641911584.0,5671654857142.0,1941808253785.0,2901290031488.0,10 Rio Capim,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim.xlsx",Rio Capim
RI Rio Capim,349120027773.0,3.35859905328e+16,28660585054.0,2436397326.0,10 Rio Capim,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim.xlsx",Rio Capim
Abel Figueiredo,4966446185.0,4764834621.0,4494459606.0,18164486.0,10 Rio Capim,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim.xlsx",Rio Capim
Aurora do Pará,14468675217.0,13791635785.0,13231971895.0,271362322.0,10 Rio Capim,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim.xlsx",Rio Capim
Bujaru,18096202399.0,17413535772.0,16634584087.0,454261454.0,10 Rio Capim,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim.xlsx",Rio Capim
Capitão Poço,21135149788.0,20325376196.0,19161331174.0,622239646.0,10 Rio Capim,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim.xlsx",Rio Capim
Concórdia do Pará,20338857752.0,20020029099.0,18650517159.0,994327852.0,10 Rio Capim,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim.xlsx",Rio Capim
Dom Eliseu,26544842893.0,26544842893.0,23119592136.0,1866535304.0,10 Rio Capim,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim.xlsx",Rio Capim
Garrafão do Norte,13619297725.0,133988289.0,12456502218.0,759784647.0,10 Rio Capim,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim.xlsx",Rio Capim
Ipixuna do Pará,26819489216.0,26205128429.0,24401985521.0,1202752106.0,10 Rio Capim,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio capim.xlsx",Rio Capim
