Par,48789382896,100,10637664692999992,100_2,54942469403,100_3,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Capim,29493629361.0,6045091700353939.0,643056583.0,6045091677153135.0,2.95354844e+16,5375711124914835.0,10 Rio Capim,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim.xlsx",Rio Capim
Abel Figueiredo,853956666.0,1750292000659864.0,18619019.0,1.750291961378709e+16,40167918.0,7310905104277440.0,10 Rio Capim,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim.xlsx",Rio Capim
Aurora do Pará,1043042359.0,2137847000900505.0,22741699.0,2.137846948208937e+16,56586894.0,1.029929936074373e+16,10 Rio Capim,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim.xlsx",Rio Capim
Bujaru,892071908.0,1.828414001262427e+16,19450055.0,1.828413995112941e+16,39976317.0,7276032081262290.0,10 Rio Capim,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim.xlsx",Rio Capim
Capitão Poço,1350926784.0,2768895000946519.0,29454576.0,2768894945465078.0,209445494.0,3812087375682531.0,10 Rio Capim,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim.xlsx",Rio Capim
Concórdia do Pará,1048429682.0,214888899954903.0,22859161.0,2.148889033421239e+16,98698432.0,1.796395995164549e+16,10 Rio Capim,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim.xlsx",Rio Capim
Dom Eliseu,2562765282.0,5252710999568941.0,55876578.0,5252710967358185.0,2.72515964e+16,49600239479793.0,10 Rio Capim,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim.xlsx",Rio Capim
Garrafão do Norte,1017367921.0,2.085223998771685e+16,22181913.0,2.085223932147117e+16,52757454.0,9602308482537790.0,10 Rio Capim,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim.xlsx",Rio Capim
Ipixuna do Pará,1433549164.0,2.938239999992968e+16,31256012.0,2.938240008689849e+16,7046256.0,1.282478941438925e+16,10 Rio Capim,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim.xlsx",Rio Capim
Irituia,846434319.0,1.734874000772399e+16,1.8455008e+16,1734874009719834.0,5660183899999999.0,1.030201947874395e+16,10 Rio Capim,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri rio capim.xlsx",Rio Capim
