EstadoMunicpio,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,1980,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,25557665.0
RI Rio Capim,0,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,1775706.0
Abel Figueiredo,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,57303.0
Aurora do Pará,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,100000.0
Bujaru,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,7001.0
Capitão Poço,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,114620.0
Concórdia do Pará,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,15729.0
Dom Eliseu,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,81363.0
Garrafão do Norte,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,65450.0
Ipixuna do Pará,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,135095.0
Irituia,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,75457.0
Mãe do Rio,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,40267.0
Nova Esperança do Piriá,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,54161.0
Ourém,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,18766.0
Paragominas,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,382487.0
Rondon do Pará,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,385930.0
Tomé-Açu,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,157464.0
Ulianópolis,-,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,84613.0
Fonte: IBGE/PPM,,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,
Elaboração: FAPESPA,,10 Rio Capim,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Bovino,
