Par,col,1,437,1_2,19,681,3,480,747,21,2,261,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Rio Capim,-,-,19,-,4,27,-,24,29,1,-,12,10 Rio Capim,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim.xlsx",Rio Capim,3344,532.0
Abel Figueiredo,-,-,-,-,-,-,-,-,-,-,-,-,10 Rio Capim,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim.xlsx",Rio Capim,3344,2.0
Aurora do Pará,-,-,-,-,-,1,-,1,1,-,-,-,10 Rio Capim,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim.xlsx",Rio Capim,3344,13.0
Bujaru,-,-,-,-,-,-,-,1,-,-,-,-,10 Rio Capim,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim.xlsx",Rio Capim,3344,50.0
Capitão Poço,-,-,5,-,4,5,-,12,3,-,-,-,10 Rio Capim,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim.xlsx",Rio Capim,3344,67.0
Concórdia do Pará,-,-,1,-,-,2,-,-,2,-,-,1,10 Rio Capim,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim.xlsx",Rio Capim,3344,64.0
Dom Eliseu,-,-,1,-,-,1,-,-,2,-,-,2,10 Rio Capim,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim.xlsx",Rio Capim,3344,17.0
Garrafão do Norte,-,-,-,-,-,-,-,-,-,-,-,-,10 Rio Capim,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim.xlsx",Rio Capim,3344,43.0
Ipixuna do Pará,-,-,1,-,-,2,-,-,2,-,-,-,10 Rio Capim,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim.xlsx",Rio Capim,3344,48.0
Irituia,-,-,-,-,-,-,-,7,-,-,-,-,10 Rio Capim,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim.xlsx",Rio Capim,3344,71.0
Mãe do Rio,-,-,1,-,-,3,-,-,4,-,-,1,10 Rio Capim,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio capim.xlsx",Rio Capim,3344,24.0
