EstadoMunicpio,Bovino,Bubalino,Equino,Suno__total,Suno__matrizes_de_sunos,Caprino,Ovino,Galinceos__Total,Galinceos__galinhas,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,25557665.0,775075.0,499639.0,587143.0,93157.0,61762.0,284632.0,26827658.0,2955828.0,1980,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
RI Marajó,332811.0,544654.0,57105.0,80470.0,18088.0,11219.0,14530.0,242110.0,57372.0,0,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Afuá,1383.0,3574.0,463.0,930.0,120.0,358.0,150.0,13500.0,2450.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Anajás,2388.0,2454.0,125.0,4420.0,1400.0,20.0,80.0,2500.0,730.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Bagre,580.0,190.0,4.0,4500.0,998.0,5.0,,8500.0,340.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Breves,750.0,208.0,50.0,5200.0,1000.0,10.0,50.0,75000.0,1380.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Cachoeira do Arari,40707.0,61203.0,7001.0,5493.0,850.0,1077.0,2654.0,4500.0,3480.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Chaves,63178.0,263069.0,22475.0,19500.0,3180.0,4806.0,5447.0,6700.0,1100.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Curralinho,40.0,109.0,3.0,3800.0,950.0,11.0,10.0,4500.0,950.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Gurupá,1106.0,8793.0,120.0,281.0,18.0,27.0,,1360.0,262.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Melgaço,1020.0,236.0,28.0,1500.0,700.0,41.0,55.0,1100.0,250.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Muaná,5936.0,18639.0,1558.0,3500.0,980.0,510.0,540.0,5200.0,4000.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Oeiras do Pará,6331.0,83.0,106.0,700.0,62.0,54.0,163.0,32600.0,31000.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Ponta de Pedras,31870.0,37528.0,8105.0,4486.0,1120.0,491.0,1128.0,6300.0,4300.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Portel,110495.0,580.0,800.0,5420.0,2100.0,65.0,279.0,70000.0,980.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Salvaterra,6895.0,11249.0,968.0,1465.0,600.0,382.0,394.0,2450.0,1720.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Santa Cruz do Arari,25178.0,27856.0,4029.0,9500.0,2300.0,950.0,1170.0,2100.0,1380.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
São Sebastião da Boa Vista,214.0,13.0,5.0,1025.0,290.0,,,2100.0,1100.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Soure,34740.0,108870.0,11265.0,8750.0,1420.0,2412.0,2410.0,3700.0,1950.0,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Fonte: IBGE/PPM,,,,,,,,,,,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Elaboração: FAPESPA,,,,,,,,,,,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,,,,,,,,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó
