Par,45314,2472,6343,1119,11395,5430,2308,29067,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Marajó,2116.0,132.0,248.0,41.0,489.0,210.0,69.0,1189.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Afuá,102.0,2.0,11.0,2.0,12.0,11.0,3.0,41.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Anajás,90.0,4.0,13.0,1.0,28.0,8.0,3.0,57.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Bagre,85.0,5.0,9.0,4.0,22.0,11.0,4.0,55.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Breves,423.0,27.0,39.0,8.0,66.0,39.0,12.0,191.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Cachoeira do Arari,112.0,9.0,13.0,6.0,30.0,11.0,1.0,70.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Chaves,35.0,1.0,6.0,0.0,10.0,4.0,0.0,21.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Curralinho,122.0,6.0,9.0,2.0,25.0,12.0,7.0,61.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Gurupá,91.0,6.0,15.0,1.0,23.0,7.0,3.0,55.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
Melgaço,55.0,5.0,4.0,0.0,11.0,4.0,3.0,27.0,8 Marajó,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri marajo.xlsx,Marajó
