EstadoMunicpios,Total,Automvel,Caminho,Caminho_trator,Caminhonete,Camioneta,Ciclomotor,Micronibus,Motocicleta,Motoneta,nibus,Reboque,Semireboque,Triciclo,Utilitrio,Outros,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2810011.0,765312.0,75715.0,15876.0,226197.0,56188.0,7819.0,7791.0,1219628.0,314301.0,22536.0,40209.0,26496.0,2846.0,28103.0,994.0,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó
RI Marajó,34538.0,3102.0,371.0,24.0,975.0,392.0,47.0,70.0,23089.0,6016.0,154.0,55.0,46.0,50.0,143.0,4.0,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó
Afuá,12.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó
Anajás,647.0,15.0,0.0,0.0,8.0,3.0,0.0,1.0,518.0,95.0,1.0,2.0,0.0,3.0,1.0,0.0,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó
Bagre,457.0,23.0,5.0,0.0,17.0,3.0,0.0,0.0,312.0,91.0,2.0,1.0,0.0,2.0,1.0,0.0,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó
Breves,12193.0,1130.0,83.0,3.0,279.0,153.0,16.0,5.0,8157.0,2247.0,14.0,17.0,17.0,11.0,61.0,0.0,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó
Cachoeira do Arari,1552.0,173.0,18.0,0.0,83.0,15.0,5.0,5.0,1077.0,149.0,17.0,2.0,1.0,3.0,4.0,0.0,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó
Chaves,34.0,8.0,1.0,0.0,3.0,3.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó
Curralinho,785.0,36.0,5.0,1.0,20.0,4.0,0.0,0.0,604.0,107.0,2.0,1.0,3.0,0.0,2.0,0.0,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó
Gurupá,1162.0,36.0,16.0,0.0,32.0,5.0,0.0,0.0,959.0,110.0,3.0,0.0,0.0,0.0,1.0,0.0,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó
