Par,27792,9307,99624,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Muaná,-,-,74,36,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,1445663,1265.0
Oeiras do Pará,-,1,-,1,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,1445663,1127.0
Ponta de Pedras,-,5,5,80,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,1445663,1045.0
Portel,-,9,162,143,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,1445663,6911.0
Salvaterra,-,19,19,46,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,1445663,2213.0
Santa Cruz do Arari,-,2,-,23,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,1445663,1731.0
São Sebastião da Boa Vista,-,-,1,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,1445663,884.0
Soure,-,15,26,187,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,1445663,2298.0
Fonte: MTE-RAIS,,,,,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,1445663,
Elaboração: FAPESPA,,,,,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,1445663,
