EstadoMunicpios,Ovos_de_codorna_Mil_dzias,Mel_de_abelha_Quilogramas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,29,745689,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,511007.0
RI Marajó,0,870,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,9581.0
Afuá,-,-,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,72.0
Anajás,-,-,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,47.0
Bagre,-,-,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,25.0
Breves,-,-,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,38.0
Cachoeira do Arari,-,-,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,1080.0
Chaves,-,-,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,3060.0
Curralinho,-,250,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,7.0
Gurupá,-,90,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,27.0
Melgaço,-,-,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,43.0
Muaná,-,-,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,210.0
Oeiras do Pará,-,-,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,22.0
Ponta de Pedras,-,-,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,1400.0
Portel,-,-,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,1720.0
Salvaterra,-,-,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,290.0
Santa Cruz do Arari,-,-,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,510.0
São Sebastião da Boa Vista,-,-,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,
Soure,-,530,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,1030.0
Fonte: IBGE/PPM,,,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,
Elaboração: FAPESPA,,,8 Marajó,46,Producao de Origem Animal por Tipo - 2024 ri marajo,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri marajo.xlsx,Marajó,Leite_Mil_litros,
