EstadoMunicpio,Taxa_de_Mortalidade_Infantil,Taxa_de_Mortalidade_em_Menores_que_05_Anos,Taxa_de_Mortalidade_Materna,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1524701514576214.0,1.8503986837109224e+16,7593975446146058.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
RI Marajó,1562774363476734.0,2.107111501316945e+16,5267778753292362.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Afuá,1251303441084463.0,1.8769551616266944e+16,2.085505735140772e+16,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Anajás,1038961038961039.0,1.2987012987012988e+16,0.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Bagre,32719836400818.0,4.294478527607362e+16,2044989775051125.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Breves,1.5163607342378292e+16,2.4341580207501996e+16,0.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Cachoeira do Arari,2.3972602739726024e+16,3.0821917808219176e+16,0.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Chaves,3.0303030303030304e+16,3.0303030303030304e+16,0.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Curralinho,2616279069767442.0,3.052325581395349e+16,1.4534883720930232e+16,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Gurupá,9104704097116844.0,1.0622154779969652e+16,0.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Melgaço,1.9646365422396852e+16,2.5540275049115916e+16,0.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Muaná,2529510961214165.0,2.6981450252951092e+16,0.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Oeiras do Pará,1.1494252873563218e+16,1.9704433497536948e+16,0.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Ponta de Pedras,1.8072289156626508e+16,2108433734939759.0,3.012048192771085e+16,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Portel,1782178217821782.0,2046204620462046.0,6600660066006601.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Salvaterra,3.584229390681004e+16,3.584229390681004e+16,0.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Santa Cruz do Arari,1.1904761904761904e+16,1.1904761904761904e+16,0.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
São Sebastião da Boa Vista,4132231404958678.0,1.4462809917355372e+16,0.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Soure,1.0273972602739724e+16,1.36986301369863e+16,0.0,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Fonte: DATASUS,,,,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
Elaboração: FAPESPA,,,,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,8 Marajó,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri marajo.xlsx",Marajó
