Par,1445663,27792,117832,9307,99624,261547,444602,423642,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Marajó,44051.0,-,801.0,139,402,3141.0,11212.0,27486.0,870,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó
Afuá,1704.0,-,219.0,9,40,66.0,43.0,1327.0,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó
Anajás,1214.0,-,32.0,14,2,90.0,39.0,1037.0,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó
Bagre,797.0,-,,-,-,53.0,28.0,714.0,2,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó
Breves,11140.0,-,204.0,9,69,1328.0,7128.0,2402.0,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó
Cachoeira do Arari,947.0,-,86.0,6,-,92.0,28.0,671.0,64,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó
Chaves,1081.0,-,2.0,10,1,39.0,11.0,730.0,288,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó
Curralinho,1276.0,-,4.0,-,-,40.0,87.0,1145.0,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó
Gurupá,4318.0,-,,40,-,85.0,23.0,4170.0,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó
Melgaço,4100.0,-,1.0,-,3,57.0,84.0,3955.0,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó
Muaná,1265.0,-,11.0,-,74,52.0,72.0,1020.0,36,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó
Oeiras do Pará,1127.0,-,6.0,1,-,61.0,29.0,1029.0,1,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó
