Par,48789382896,100,10637664692999992,100_2,54942469403,100_3,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Marajó,2.0009738340000004e+16,4101248499628081.0,436277063.0,410124849382673.0,1.9896748000000004e+16,3621378546722836.0,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Afuá,1.251978988e+16,2566089000692492.0,27297194.0,2566088966684825.0,1140227.0,2075310797620800.0,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Anajás,1137941611.0,2332354999089964.0,2.481081e+16,2.332354959103618e+16,2872936.0,5228989579858800.0,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Bagre,1031813482.0,2.114831999821406e+16,22496874.0,2114832028387193.0,3376147.0,6144876698635700.0,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Breves,2034899287.0,4.17078299870612e+16,4.4367391e+16,4.170782994240786e+16,6073888.0,1.105499637347634e+16,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Cachoeira do Arari,1.061223722e+16,2.175111999801506e+16,23138112.0,2.17511198818156e+16,1.1815252e+16,2.15047705870949e+16,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Chaves,1156770898.0,2.370948000030633e+16,2522135.0,2.370948016118298e+16,78066.0,1.4208680615971e+16,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Curralinho,954025641.0,1.955395998825424e+16,20800847.0,1.955396000936914e+16,4.011487e+16,7301249913934400.0,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Gurupá,1241480976.0,2.544571999704023e+16,27068303.0,2.544571932015494e+16,297913.0,5422271755112100.0,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Melgaço,1067829316.0,2.188650998673618e+16,2.3282136e+16,2188651050011059.0,3402775.0,6193341939258000.0,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Muaná,1183358672.0,2.425442999601902e+16,25801049.0,2.425442965595458e+16,55897.0,1.01737327439723e+16,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Oeiras do Pará,99580643.0,2041031000786938.0,21711804.0,2.041031055837587e+16,6001491.0,1.09232276328524e+16,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Ponta de Pedras,1091852233.0,2237889000005195.0,23805913.0,2.237889018598719e+16,10128559.0,1843484486601350.0,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Portel,1782906516.0,3654291999963319.0,38873133.0,3654292001286718.0,2090837.0,3805502415014920.0,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Salvaterra,1024243321.0,2099315999104331.0,22331819.0,2.099315934887027e+16,2.8531333e+16,5.19294696980658e+16,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Santa Cruz do Arari,800084893.0,1.639875000480063e+16,1.7444440999999996e+16,1.639875057490685e+16,990477.0,1.8027529719039e+16,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
São Sebastião da Boa Vista,1169945983.0,2.397952000118283e+16,25508609.0,2.397951969362757e+16,3384768.0,6160567657003000.0,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Soure,1023576371.0,2.097949000875594e+16,22317278.0,2.097948999528595e+16,32315288.0,5881659188444750.0,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Fonte: DITES-SEFA,,,,,,,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
Elaboração: FAPESPA,,,,,,,8 Marajó,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri marajo.xlsx",Marajó
