EstadoMunicpio,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,1980,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,25557665.0
RI Marajó,0,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,332811.0
Afuá,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,1383.0
Anajás,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,2388.0
Bagre,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,580.0
Breves,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,750.0
Cachoeira do Arari,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,40707.0
Chaves,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,63178.0
Curralinho,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,40.0
Gurupá,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,1106.0
Melgaço,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,1020.0
Muaná,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,5936.0
Oeiras do Pará,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,6331.0
Ponta de Pedras,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,31870.0
Portel,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,110495.0
Salvaterra,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,6895.0
Santa Cruz do Arari,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,25178.0
São Sebastião da Boa Vista,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,214.0
Soure,-,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,34740.0
Fonte: IBGE/PPM,,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,
Elaboração: FAPESPA,,8 Marajó,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri marajo.xlsx,Marajó,Bovino,
