EstadoMunicpios,PIB_R_1000,Ranking_Estadual,Ranking_Regional,Partipao_no_Par_,Partipao_na_Regio_,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,,,100.0,,8 Marajó,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo.xlsx",Marajó
RI Marajó,8302943429.0,11.0,,3.261857092412288e+16,100.0,8 Marajó,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo.xlsx",Marajó
Afuá,665557288.0,66.0,3.0,2.614678491830884e+16,8015919820378196.0,8 Marajó,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo.xlsx",Marajó
Anajás,370837756.0,100.0,8.0,1.456856565248865e+16,4.46634087262068e+16,8 Marajó,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo.xlsx",Marajó
Bagre,329848074.0,113.0,13.0,129582634013564.0,3.972664354762762e+16,8 Marajó,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo.xlsx",Marajó
Breves,1515249515.0,33.0,1.0,5952741241153202.0,1824954641636641.0,8 Marajó,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo.xlsx",Marajó
Cachoeira do Arari,354702357.0,104.0,9.0,1.393467760884349e+16,4272007391512724.0,8 Marajó,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo.xlsx",Marajó
Chaves,331189508.0,112.0,12.0,1.301096237545298e+16,3.988820480737494e+16,8 Marajó,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo.xlsx",Marajó
Curralinho,396832058.0,96.0,7.0,1.558976613477616e+16,4.7794142088692296e+16,8 Marajó,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo.xlsx",Marajó
Gurupá,489496626.0,87.0,5.0,1.923014476593015e+16,5.895459004216709e+16,8 Marajó,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo.xlsx",Marajó
Melgaço,347498563.0,106.0,10.0,1.365167259077838e+16,4.1852454611009256e+16,8 Marajó,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo.xlsx",Marajó
Muaná,464374317.0,92.0,6.0,1.824320100929549e+16,5592887883326562.0,8 Marajó,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri marajo.xlsx",Marajó
