EstadoMunicpios,VA_Agropecuria,VA_Indstria,VA_Servios_exclusive_Administrao_Pblica,VA_Administrao_Pblica,VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,24296590644.0,1.1132113318200006e+16,6474338067100003.0,3973614317000002.0,2.400972476610001e+16,8 Marajó,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo.xlsx,Marajó
RI Marajó,1.7556835329999998e+16,1.816921280000001e+16,8650878609999999.0,2.950461316000001e+16,5752924839000001.0,8 Marajó,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo.xlsx,Marajó
Afuá,174162198.0,20306774.0,46160739.0,191038928.0,431668638.0,8 Marajó,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo.xlsx,Marajó
Anajás,38552119.0,7906759.0,37950767.0,159539327.0,243948972.0,8 Marajó,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo.xlsx,Marajó
Bagre,85696122.0,639888.0,23117641.0,130825502.0,246038146.0,8 Marajó,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo.xlsx,Marajó
Breves,59886547.0,32532236.0,23063307.0,509798074.0,832849928.0,8 Marajó,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo.xlsx,Marajó
Cachoeira do Arari,9453304.0,7758899.0,3613615.0,10816685.0,246594939.0,8 Marajó,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo.xlsx,Marajó
Chaves,111397161.0,3192049.0,14001548.0,117089479.0,245680238.0,8 Marajó,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo.xlsx,Marajó
Curralinho,56014468.0,6512028.0,34762223.0,178402811.0,275691531.0,8 Marajó,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo.xlsx,Marajó
Gurupá,79022901.0,8404868.0,45254667.0,192765749.0,325448186.0,8 Marajó,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri marajo.xlsx,Marajó
