Par,13678533514398037,4142176095852846,5848120491077079,009703413070075517,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Marajó,1.8061217855710052e+16,6291483757682177.0,3691834942932397.0,1.668129938542581e+16,8 Marajó,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo.xlsx,Marajó
Afuá,2.3828455001739304e+16,6923879040667362.0,3.0448383733055264e+16,3.128258602711157e+16,8 Marajó,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo.xlsx,Marajó
Anajás,2.5664100256641004e+16,6714285714285714.0,3.2857142857142852e+16,0.0,8 Marajó,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo.xlsx,Marajó
Bagre,1.4119481419455432e+16,7586912065439672.0,2392638036809816.0,2044989775051125.0,8 Marajó,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo.xlsx,Marajó
Breves,2.1781644661932532e+16,6572226656025538.0,3419792498004789.0,7980845969672780.0,8 Marajó,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo.xlsx,Marajó
Cachoeira do Arari,1.1567563284871052e+16,791095890410959.0,2089041095890411.0,0.0,8 Marajó,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo.xlsx,Marajó
Chaves,1.5358123516544888e+16,7878787878787878.0,2121212121212121.0,0.0,8 Marajó,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo.xlsx,Marajó
Curralinho,1.8874653644618804e+16,5.188953488372093e+16,4781976744186046.0,2.906976744186046e+16,8 Marajó,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo.xlsx,Marajó
Gurupá,1.9426920582512824e+16,5553869499241275.0,4446130500758726.0,0.0,8 Marajó,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo.xlsx,Marajó
Melgaço,1.7054211619647524e+16,7111984282907662.0,2.8094302554027508e+16,7858546168958742.0,8 Marajó,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri marajo.xlsx,Marajó
