EstadoMunicpios,rea_Territorial_IBGEkm,rea_Cadastrvel_km,_de_rea_Cadastrvel,rea_de_CAR_km,_de_rea_de_CAR,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Muaná,376333.0,3.2442358000000004e+16,8620651922632351.0,2476857.0,7635.0,8 Marajó,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo.xlsx",Marajó
Oeiras do Pará,385229.0,27145839.0,7046675873311719.0,16976144.0,6254.0,8 Marajó,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo.xlsx",Marajó
Ponta de Pedras,336374.0,28325776.0,842091719336215.0,22034019.0,7779.0,8 Marajó,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo.xlsx",Marajó
Portel,2538496.0,2.25644055e+16,8888887553890177.0,196033658.0,8688.0,8 Marajó,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo.xlsx",Marajó
Salvaterra,91856.0,7308178.0,7956124804041109.0,5334703.0,73.0,8 Marajó,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo.xlsx",Marajó
Santa Cruz do Arari,107665.0,10381559.0,9642464124831652.0,7897236.0,7607.0,8 Marajó,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo.xlsx",Marajó
São Sebastião da Boa Vista,163225.0,7809973.0,4784789707459029.0,7547497999999999.0,9664.0,8 Marajó,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo.xlsx",Marajó
Soure,285734.0,2.5802386e+16,9030212015370938.0,23410362.0,8938.0,8 Marajó,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo.xlsx",Marajó
Fonte: SEMAS/SICAR,,,,,,8 Marajó,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo.xlsx",Marajó
Elaboração: FAPESPA,,,,,,8 Marajó,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo.xlsx",Marajó
*Nota: Dados preliminares extraídos em Novembro/2025.,,,,,,8 Marajó,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri marajo.xlsx",Marajó
