EstadoMunicpios,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,215.0,311.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
RI Marajó,3.3258823529411764e+16,4420588235294117.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Afuá,418.0,522.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Anajás,419.0,502.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Bagre,343.0,448.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Breves,416.0,506.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Cachoeira do Arari,269.0,36.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Chaves,399.0,504.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Curralinho,398.0,532.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Gurupá,369.0,58.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
Melgaço,384.0,508.0,8 Marajó,10,Distorção idade-série total por nível de Ensino - 2024 ri marajo,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri marajo.xlsx,Marajó
