EstadoMunicpios,Populao_Total,Populao_menor_que_15_anos,Populao_entre_15_e_64_anos,Populao_maior_que_64_anos,Proporo_de_Idosos,Razo_de_Dependncia,ndice_de_Envelhecimento,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1999423.0,6029379.0,682394.0,7.833528254903229e+16,4447915780381363.0,3.4129546374128932e+16,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
RI Marajó,635901.0,189524.0,411442.0,34935.0,5493779692121887.0,5455422635511202.0,184330216753551.0,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
Afuá,40473.0,12473.0,25824.0,2176.0,5376423788698639.0,5672630111524164.0,1.7445682674577084e+16,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
Anajás,30247.0,9920.0,19060.0,1267.0,4188845174728073.0,5869359916054565.0,1.2772177419354838e+16,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
Bagre,35147.0,12881.0,21087.0,1179.0,3.3544826016445212e+16,6667615118319344.0,9153016070180886.0,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
Breves,116058.0,36588.0,73221.0,6249.0,5.3843767771286776e+16,5850370795263654.0,1.7079370285339458e+16,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
Cachoeira do Arari,25467.0,6377.0,17250.0,1840.0,7225036321514117.0,4763478260869565.0,2.8853692959071664e+16,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
Chaves,21501.0,6738.0,13604.0,1159.0,5390446955955537.0,5.804910320493973e+16,1720094983674681.0,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
Curralinho,36814.0,11112.0,23934.0,1768.0,4802520780137991.0,5.381465697334336e+16,1.5910727141828652e+16,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
Gurupá,34137.0,10215.0,22127.0,1795.0,5.258224214195741e+16,5427757942784833.0,1.7572197748409202e+16,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
Melgaço,30080.0,10953.0,18025.0,1102.0,3.663563829787234e+16,6687933425797503.0,1.0061170455582944e+16,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
Muaná,49648.0,13110.0,33496.0,3042.0,6127135030615533.0,4822068306663482.0,2320366132723112.0,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
Oeiras do Pará,36734.0,10726.0,24058.0,1950.0,5308433603745848.0,5268933410923601.0,1818012306544844.0,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
Ponta de Pedras,25736.0,6070.0,17799.0,1867.0,7254429592788313.0,4459239283105793.0,3075782537067545.0,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
Portel,67580.0,21590.0,42890.0,3100.0,4587155963302752.0,5756586616927023.0,1.4358499305233904e+16,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
Salvaterra,25687.0,5968.0,17658.0,2061.0,8023513839685444.0,4546947559179975.0,3.4534182305630024e+16,8 Marajó,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_marajó.xlsx,Marajó
