EstadoMunicpios,Mdicos,Assistente_Social,Bioqumico_farmacutico,Cirurgio_Geral,Clnico_Geral,Enfermeiro,Fisioterapeuta,Fonoaudilogo,Gineco_Obstetra,Mdico_de_Famlia,Nutricionista,Odontlogo,Pediatra,Psiclogo,Psiquiatra,Radiologista,Sanitarista,Outras_especialidades_mdicas,Outras_ocupaes_de_nvel_superior_relac__Sade,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,11070.0,1788.0,1859.0,253.0,4015.0,12101.0,2528.0,631.0,465.0,1648.0,1215.0,3725.0,757.0,1973.0,101.0,290.0,3.0,3142.0,2313.0,7 Lago de Tucuruí,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
RI Lago de Tucuruí,280.0,74.0,47.0,9.0,127.0,613.0,94.0,11.0,8.0,62.0,40.0,108.0,27.0,56.0,3.0,8.0,0.0,36.0,60.0,7 Lago de Tucuruí,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
Breu Branco,36.0,8.0,1.0,2.0,16.0,85.0,9.0,1.0,0.0,10.0,4.0,9.0,2.0,2.0,0.0,0.0,0.0,6.0,4.0,7 Lago de Tucuruí,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
Goianésia do Pará,22.0,7.0,6.0,0.0,8.0,53.0,6.0,1.0,1.0,7.0,7.0,12.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,7 Lago de Tucuruí,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
Itupiranga,26.0,9.0,4.0,1.0,11.0,47.0,6.0,0.0,0.0,13.0,2.0,12.0,0.0,4.0,0.0,0.0,0.0,1.0,7.0,7 Lago de Tucuruí,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
Jacundá,34.0,5.0,16.0,4.0,19.0,42.0,7.0,1.0,0.0,5.0,3.0,13.0,1.0,4.0,0.0,1.0,0.0,4.0,10.0,7 Lago de Tucuruí,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
Nova Ipixuna,7.0,3.0,1.0,0.0,3.0,14.0,3.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,7 Lago de Tucuruí,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
Novo Repartimento,35.0,9.0,3.0,0.0,17.0,68.0,10.0,2.0,1.0,7.0,5.0,6.0,9.0,5.0,0.0,1.0,0.0,0.0,9.0,7 Lago de Tucuruí,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
Tucuruí,120.0,33.0,16.0,2.0,53.0,304.0,53.0,6.0,6.0,18.0,18.0,53.0,10.0,34.0,3.0,5.0,0.0,23.0,25.0,7 Lago de Tucuruí,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
Fonte: DATASUS,,,,,,,,,,,,,,,,,,,,7 Lago de Tucuruí,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,7 Lago de Tucuruí,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
*Nota: Dados referentes a Outubro/2025.,,,,,,,,,,,,,,,,,,,,7 Lago de Tucuruí,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
