EstadoMunicpios,Ranking_Regional,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,-,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,PIB_R_1000,2.5454651119799996e+16
RI Lago de Tucuruí,,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,PIB_R_1000,10272714811.0
Breu Branco,4,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,PIB_R_1000,802220696.0
Goianésia do Pará,6,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,PIB_R_1000,595811202.0
Itupiranga,3,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,PIB_R_1000,979791945.0
Jacundá,5,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,PIB_R_1000,800237449.0
Nova Ipixuna,7,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,PIB_R_1000,23114529.0
Novo Repartimento,2,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,PIB_R_1000,1406400148.0
Tucuruí,1,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,PIB_R_1000,5457108081.0
Fonte: FAPESPA/IBGE,,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí,PIB_R_1000,
