Par,col,7,1102,11,38,163,6399,1126,32,3075,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Lago de Tucuruí,-,-,29,-,-,-,-,71,-,97,7 Lago de Tucuruí,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,6417,423.0
Breu Branco,-,-,-,-,-,-,-,-,-,-,7 Lago de Tucuruí,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,6417,49.0
Goianésia do Pará,-,-,3,-,-,-,-,-,-,4,7 Lago de Tucuruí,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,6417,42.0
Itupiranga,-,-,1,-,-,-,-,-,-,-,7 Lago de Tucuruí,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,6417,40.0
Jacundá,-,-,2,-,-,-,-,-,-,33,7 Lago de Tucuruí,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,6417,62.0
Nova Ipixuna,-,-,-,-,-,-,-,-,-,-,7 Lago de Tucuruí,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,6417,8.0
Novo Repartimento,-,-,1,-,-,-,-,-,-,26,7 Lago de Tucuruí,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,6417,68.0
Tucuruí,-,-,22,-,-,-,-,71,-,34,7 Lago de Tucuruí,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,6417,154.0
Fonte: MEC - INEP,,,,,,,,,,,7 Lago de Tucuruí,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,6417,
Elaboração: FAPESPA,,,,,,,,,,,7 Lago de Tucuruí,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,6417,
