Par,45314,2472,6343,1119,11395,5430,2308,29067,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Lago de Tucuruí,1819.0,64.0,248.0,23.0,500.0,142.0,99.0,1076.0,7 Lago de Tucuruí,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Breu Branco,248.0,13.0,28.0,2.0,87.0,22.0,10.0,162.0,7 Lago de Tucuruí,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Goianésia do Pará,140.0,5.0,25.0,1.0,31.0,7.0,11.0,80.0,7 Lago de Tucuruí,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Itupiranga,244.0,5.0,30.0,3.0,46.0,18.0,15.0,117.0,7 Lago de Tucuruí,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Jacundá,302.0,10.0,52.0,6.0,89.0,21.0,17.0,195.0,7 Lago de Tucuruí,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Nova Ipixuna,87.0,2.0,9.0,0.0,23.0,4.0,5.0,43.0,7 Lago de Tucuruí,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Novo Repartimento,297.0,7.0,35.0,4.0,75.0,27.0,18.0,166.0,7 Lago de Tucuruí,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Tucuruí,501.0,22.0,69.0,7.0,149.0,43.0,23.0,313.0,7 Lago de Tucuruí,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Fonte: DATASUS,,,,,,,,,7 Lago de Tucuruí,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Elaboração: FAPESPA,,,,,,,,,7 Lago de Tucuruí,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,,,,7 Lago de Tucuruí,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
