EstadoMunicpios,0_a_4_anos,5_a_9_anos,10_a_14_anos,15_a_19_anos,20_a_29_anos,30_a_39_anos,40_a_49_anos,50_a_59_anos,60_a_69_anos,70_a_79_anos,80_anos_e_mais,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,626870.0,674284.0,698269.0,751277.0,1500057.0,1371170.0,1229538.0,858403.0,571207.0,301884.0,128237.0,7 Lago de Tucuruí,3,População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
RI Lago de Tucuruí,24441.0,27394.0,29088.0,31142.0,56522.0,50156.0,47381.0,32869.0,22388.0,11943.0,4687.0,7 Lago de Tucuruí,3,População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Breu Branco,3650.0,4050.0,4205.0,4380.0,7871.0,6787.0,6165.0,4486.0,3085.0,1702.0,685.0,7 Lago de Tucuruí,3,População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Goianésia do Pará,1901.0,2182.0,2294.0,2422.0,4182.0,3865.0,4001.0,2812.0,1798.0,914.0,332.0,7 Lago de Tucuruí,3,População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Itupiranga,3786.0,4206.0,4538.0,4953.0,8825.0,7943.0,7581.0,4883.0,3076.0,1753.0,657.0,7 Lago de Tucuruí,3,População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Jacundá,2411.0,2871.0,3258.0,3443.0,5654.0,5361.0,5625.0,3984.0,2835.0,1570.0,714.0,7 Lago de Tucuruí,3,População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Nova Ipixuna,1013.0,1144.0,1143.0,1201.0,2169.0,2036.0,2114.0,1593.0,1124.0,626.0,237.0,7 Lago de Tucuruí,3,População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Novo Repartimento,5208.0,5560.0,5695.0,6106.0,11017.0,9657.0,8412.0,5664.0,3769.0,1957.0,751.0,7 Lago de Tucuruí,3,População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Tucuruí,6472.0,7381.0,7955.0,8637.0,16804.0,14507.0,13483.0,9447.0,6701.0,3421.0,1311.0,7 Lago de Tucuruí,3,População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",,,,,,,,,,,,7 Lago de Tucuruí,3,População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Elaboração: FAPESPA,,,,,,,,,,,,7 Lago de Tucuruí,3,População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
