Par,973,986,914,991,929,26,08,7,07,58,01,06,16,02,13,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Lago de Tucuruí,-,-,871857142857143.0,9965000000000000.0,8767142857142856.0,-,-,1.0442857142857144e+16,3e+16,1.0085714285714288e+16,-,-,2371428571428571.0,4.99999999999999e+16,2242857142857143.0,7 Lago de Tucuruí,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Breu Branco,-,-,887.0,100.0,889.0,-,-,96.0,0.0,95.0,-,-,17.0,0.0,16.0,7 Lago de Tucuruí,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Goianésia do Pará,-,-,823.0,100.0,831.0,-,-,159.0,0.0,153.0,-,-,18.0,0.0,16.0,7 Lago de Tucuruí,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Itupiranga,-,-,876.0,100.0,877.0,-,-,94.0,0.0,94.0,-,-,3.0,0.0,29.0,7 Lago de Tucuruí,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Jacundá,-,-,855.0,996.0,869.0,-,-,116.0,4.0,105.0,-,-,29.0,0.0,26.0,7 Lago de Tucuruí,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Nova Ipixuna,-,-,834.0,,834.0,-,-,136.0,,136.0,-,-,3.0,,3.0,7 Lago de Tucuruí,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Novo Repartimento,-,-,896.0,984.0,899.0,-,-,76.0,13.0,74.0,-,-,28.0,3.0,27.0,7 Lago de Tucuruí,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Tucuruí,-,-,932.0,999.0,938.0,-,-,54.0,1.0,49.0,-,-,14.0,0.0,13.0,7 Lago de Tucuruí,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Fonte: MEC - INEP,,,,,,,,,,,,,,,,7 Lago de Tucuruí,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Elaboração: FAPESPA,,,,,,,,,,,,,,,,7 Lago de Tucuruí,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
