Par,23001070720,2051340906,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Lago de Tucuruí,56493065,543234,7 Lago de Tucuruí,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,20949729814,55949831.0
Breu Branco,56491912,491381,7 Lago de Tucuruí,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,20949729814,56000531.0
Goianésia do Pará,,,7 Lago de Tucuruí,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,20949729814,0.0
Itupiranga,,,7 Lago de Tucuruí,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,20949729814,0.0
Jacundá,,,7 Lago de Tucuruí,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,20949729814,0.0
Nova Ipixuna,,,7 Lago de Tucuruí,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,20949729814,0.0
Novo Repartimento,,,7 Lago de Tucuruí,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,20949729814,0.0
Tucuruí,1153,51853,7 Lago de Tucuruí,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,20949729814,-50700.0
Fonte: MDIC - COMEX STAT,,,7 Lago de Tucuruí,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,20949729814,
Elaboração: FAPESPA,,,7 Lago de Tucuruí,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,20949729814,
Nota: Saldo é a diferença entre as Exportações e as Importações da UF.,,,7 Lago de Tucuruí,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí,20949729814,
