EstadoMunicpios,Masculino,Feminino,Razo_de_Sexos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,4373481.0,4337715.0,1008245354985286.0,7 Lago de Tucuruí,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
RI Lago de Tucuruí,172054.0,165957.0,1036738432244497.0,7 Lago de Tucuruí,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Breu Branco,23861.0,23205.0,102826976944624.0,7 Lago de Tucuruí,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Goianésia do Pará,13757.0,12946.0,1.062644832380658e+16,7 Lago de Tucuruí,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Itupiranga,27517.0,24684.0,1.1147707016690972e+16,7 Lago de Tucuruí,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Jacundá,18567.0,19159.0,9691006837517616.0,7 Lago de Tucuruí,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Nova Ipixuna,7552.0,6848.0,1.1028037383177568e+16,7 Lago de Tucuruí,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Novo Repartimento,32955.0,30841.0,1068545118511073.0,7 Lago de Tucuruí,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Tucuruí,47845.0,48274.0,9911132286531052.0,7 Lago de Tucuruí,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",,,,7 Lago de Tucuruí,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
Elaboração: FAPESPA,,,,7 Lago de Tucuruí,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_lago_de_tucuruí.xlsx,Lago de Tucuruí
