EstadoMunicpios,Total,Automvel,Caminho,Caminho_trator,Caminhonete,Camioneta,Ciclomotor,Micronibus,Motocicleta,Motoneta,nibus,Reboque,Semireboque,Triciclo,Utilitrio,Outros,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2810011.0,765312.0,75715.0,15876.0,226197.0,56188.0,7819.0,7791.0,1219628.0,314301.0,22536.0,40209.0,26496.0,2846.0,28103.0,994.0,7 Lago de Tucuruí,51,Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí.xlsx,Lago de Tucuruí
RI Lago de Tucuruí,131079.0,21232.0,4593.0,1082.0,11972.0,1501.0,67.0,368.0,68099.0,17074.0,840.0,1509.0,1819.0,135.0,735.0,53.0,7 Lago de Tucuruí,51,Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí.xlsx,Lago de Tucuruí
Breu Branco,11650.0,1990.0,385.0,57.0,876.0,117.0,5.0,21.0,6373.0,1342.0,174.0,138.0,115.0,6.0,49.0,2.0,7 Lago de Tucuruí,51,Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí.xlsx,Lago de Tucuruí
Goianésia do Pará,7820.0,1211.0,392.0,80.0,811.0,84.0,0.0,36.0,3619.0,1242.0,59.0,100.0,131.0,4.0,46.0,5.0,7 Lago de Tucuruí,51,Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí.xlsx,Lago de Tucuruí
Itupiranga,19895.0,3343.0,1138.0,520.0,2554.0,280.0,15.0,136.0,8218.0,1932.0,120.0,485.0,956.0,29.0,158.0,11.0,7 Lago de Tucuruí,51,Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí.xlsx,Lago de Tucuruí
Jacundá,21206.0,2572.0,728.0,145.0,1764.0,154.0,10.0,29.0,11951.0,3194.0,93.0,233.0,229.0,19.0,79.0,6.0,7 Lago de Tucuruí,51,Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí.xlsx,Lago de Tucuruí
Nova Ipixuna,4201.0,601.0,198.0,75.0,457.0,42.0,1.0,3.0,2209.0,422.0,35.0,61.0,81.0,1.0,14.0,1.0,7 Lago de Tucuruí,51,Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí.xlsx,Lago de Tucuruí
Novo Repartimento,23967.0,2401.0,656.0,42.0,2620.0,194.0,1.0,61.0,15337.0,2307.0,92.0,90.0,58.0,14.0,92.0,2.0,7 Lago de Tucuruí,51,Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí.xlsx,Lago de Tucuruí
Tucuruí,42340.0,9114.0,1096.0,163.0,2890.0,630.0,35.0,82.0,20392.0,6635.0,267.0,402.0,249.0,62.0,297.0,26.0,7 Lago de Tucuruí,51,Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí.xlsx,Lago de Tucuruí
Fonte: DENATRAN,,,,,,,,,,,,,,,,,7 Lago de Tucuruí,51,Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri lago de tucuruí.xlsx,Lago de Tucuruí
