Par,col,1,3344,437,3782,1_2,19,6505,681,7206,3,480,7663,747,8893,21,718,2,261,1002,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Lago de Tucuruí,-,-,92.0,14,106.0,-,-,198.0,20.0,218.0,-,-,259.0,22.0,281.0,1,26.0,-,9,36.0,7 Lago de Tucuruí,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Breu Branco,-,-,7.0,-,7.0,-,-,16.0,1.0,17.0,-,-,24.0,1.0,25.0,-,4.0,-,-,4.0,7 Lago de Tucuruí,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Goianésia do Pará,-,-,16.0,3,19.0,-,-,28.0,3.0,31.0,-,-,33.0,3.0,36.0,-,3.0,-,1,4.0,7 Lago de Tucuruí,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Itupiranga,-,-,24.0,1,25.0,-,-,66.0,1.0,67.0,-,-,72.0,1.0,73.0,-,5.0,-,-,5.0,7 Lago de Tucuruí,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Jacundá,-,-,9.0,2,11.0,-,-,19.0,4.0,23.0,-,-,26.0,4.0,30.0,-,3.0,-,3,6.0,7 Lago de Tucuruí,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Nova Ipixuna,-,-,12.0,-,12.0,-,-,14.0,,14.0,-,-,19.0,,19.0,-,2.0,-,-,2.0,7 Lago de Tucuruí,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Novo Repartimento,-,-,13.0,1,14.0,-,-,36.0,1.0,37.0,-,-,54.0,2.0,56.0,-,4.0,-,2,6.0,7 Lago de Tucuruí,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Tucuruí,-,-,11.0,7,18.0,-,-,19.0,10.0,29.0,-,-,31.0,11.0,42.0,1,5.0,-,3,9.0,7 Lago de Tucuruí,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Fonte: MEC - INEP,,,,,,,,,,,,,,,,,,,,,7 Lago de Tucuruí,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,7 Lago de Tucuruí,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
