EstadoMunicpios,PIB_R_1000,Ranking_Estadual,Ranking_Regional,Partipao_no_Par_,Partipao_na_Regio_,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,,-,100.0,,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí
RI Lago de Tucuruí,10272714811.0,9.0,,403569263733076.0,100.0,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí
Breu Branco,802220696.0,57.0,4,3.15156822312913e+16,7809237487455446.0,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí
Goianésia do Pará,595811202.0,74.0,6,2.340677148533165e+16,5799939090706642.0,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí
Itupiranga,979791945.0,51.0,3,3849166662660975.0,9537809264896956.0,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí
Jacundá,800237449.0,58.0,5,3143776927971848.0,7789931519787813.0,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí
Nova Ipixuna,23114529.0,124.0,7,908067012634099.0,2.2500896233631456e+16,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí
Novo Repartimento,1406400148.0,34.0,2,552512050305033.0,1.3690637517689384e+16,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí
Tucuruí,5457108081.0,9.0,1,2.1438549895328044e+16,5312235549610062.0,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí
Fonte: FAPESPA/IBGE,,,,,,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí
Elaboração: FAPESPA,,,,,,7 Lago de Tucuruí,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri lago de tucurui.xlsx",Lago de Tucuruí
