EstadoMunicpios,bitos_por_Acidentes_de_Trnsito_,Populao_Total,Taxa_de_Mortes_por_Acidentes_de_Trnsito_100000_hab,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1759.0,8664306.0,2.0301683712463524e+16,7 Lago de Tucuruí,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi.xlsx",Lago de Tucuruí
RI Lago de Tucuruí,114.0,339397.0,3358898281363713.0,7 Lago de Tucuruí,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi.xlsx",Lago de Tucuruí
Breu Branco,16.0,47351.0,3379020506430698.0,7 Lago de Tucuruí,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi.xlsx",Lago de Tucuruí
Goianésia do Pará,15.0,27059.0,5.543442107986253e+16,7 Lago de Tucuruí,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi.xlsx",Lago de Tucuruí
Itupiranga,12.0,52187.0,2299423228006975.0,7 Lago de Tucuruí,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi.xlsx",Lago de Tucuruí
Jacundá,21.0,38391.0,5470032038759084.0,7 Lago de Tucuruí,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi.xlsx",Lago de Tucuruí
Nova Ipixuna,6.0,14417.0,4.161753485468545e+16,7 Lago de Tucuruí,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi.xlsx",Lago de Tucuruí
Novo Repartimento,24.0,63754.0,3764469680333783.0,7 Lago de Tucuruí,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi.xlsx",Lago de Tucuruí
Tucuruí,20.0,96238.0,2.0781811758349092e+16,7 Lago de Tucuruí,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi.xlsx",Lago de Tucuruí
Fonte: DATASUS,,,,7 Lago de Tucuruí,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri lago de tucururi.xlsx",Lago de Tucuruí
