EstadoMunicpios,_Participao_VA_Agropecuria,_Participao_VA_Indstria,_Participao_VA_Servios_exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica,_Participao_VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1.0119479036388216e+16,4636501845251364.0,2696548223760274.0,1.6550020275994406e+16,100.0,7 Lago de Tucuruí,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
RI Lago de Tucuruí,1.3987135536712106e+16,4810548645766875.0,1643046327113685.0,2147691470202206.0,100.0,7 Lago de Tucuruí,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Breu Branco,1783387696750359.0,222932371713101.0,2.0934252928061144e+16,3893863293312517.0,100.0,7 Lago de Tucuruí,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Goianésia do Pará,3538430358581945.0,3503050407407529.0,2.252279405283795e+16,3.858985174350082e+16,100.0,7 Lago de Tucuruí,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Itupiranga,4911247041557729.0,3438154048459554.0,1780978889973013.0,2.963958676010144e+16,100.0,7 Lago de Tucuruí,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Jacundá,1.2222309209393724e+16,5303957730810302.0,3.7708105882609736e+16,4476562699869406.0,100.0,7 Lago de Tucuruí,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Nova Ipixuna,3244523039252519.0,4272384788299307.0,1.9495160875299356e+16,4.3787223395453544e+16,100.0,7 Lago de Tucuruí,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Novo Repartimento,3.829359806538079e+16,2496451652995247.0,2432353497020869.0,3488641521547544.0,100.0,7 Lago de Tucuruí,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Tucuruí,1.3506308298009464e+16,7653843295900177.0,1.1313367929456784e+16,1079756828174049.0,100.0,7 Lago de Tucuruí,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Fonte: FAPESPA/IBGE,,,,,,7 Lago de Tucuruí,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
