Par,820361,301905,518456,11208843632599998,5406014641200002,5802828991400001,14650321514480005,7064060326700001,7586261187780002,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Lago de Tucuruí,41988.0,7650.0,34338.0,5067480028.0,1309672757.0,3757807271.0,66566631912.0,1.7077579635000002e+16,49489052277.0,7 Lago de Tucuruí,29,Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Breu Branco,4559.0,663.0,3896.0,515386929.0,103771264.0,411615665.0,6693692023.0,1314750873.0,537894115.0,7 Lago de Tucuruí,29,Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Goianésia do Pará,2606.0,482.0,2124.0,315084085.0,72061239.0,243022846.0,4026340812.0,902573407.0,3.123767405e+16,7 Lago de Tucuruí,29,Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Itupiranga,5092.0,432.0,4660.0,575262178.0,63545017.0,511717161.0,7801202709.0,85866294.0,6942539769.0,7 Lago de Tucuruí,29,Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Jacundá,6750.0,1072.0,5678.0,79613989.0,16269015.0,63344974.0,10350304518.0,2080974017.0,8269330500999999.0,7 Lago de Tucuruí,29,Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Nova Ipixuna,1149.0,112.0,1037.0,132920091.0,16441372.0,116478719.0,1744950153.0,212168359.0,1.532781794e+16,7 Lago de Tucuruí,29,Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Novo Repartimento,7784.0,648.0,7136.0,885013949.0,100909262.0,784104687.0,1.1574226468e+16,1297955866.0,10276270602.0,7 Lago de Tucuruí,29,Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Tucuruí,14048.0,4241.0,9807.0,1847672906.0,790254453.0,1057418453.0,24375915229.0,10410494173.0,13965421056.0,7 Lago de Tucuruí,29,Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Fonte: Ministério da Previdência Social,,,,,,,,,,7 Lago de Tucuruí,29,Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Elaboração: FAPESPA,,,,,,,,,,7 Lago de Tucuruí,29,Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
