EstadoMunicpio,Receita_Oramentria,Receita_Corrente,Receita_de_Transferncias_Correntes,Impostos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,5873641911584.0,5671654857142.0,1941808253785.0,2901290031488.0,7 Lago de Tucuruí,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
RI Lago de Tucuruí,2.04386662897e+16,197569018987.0,1.7795055669199998e+16,1.2017214682000002e+16,7 Lago de Tucuruí,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Breu Branco,27342226751.0,25733603117.0,23298218514.0,1856645513.0,7 Lago de Tucuruí,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Goianésia do Pará,19684334389.0,17543883724.0,16029897301.0,1228852133.0,7 Lago de Tucuruí,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Itupiranga,24764832605.0,23844071604.0,2213274379.0,1221151218.0,7 Lago de Tucuruí,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Jacundá,21685077515.0,21363368876.0,19279191714.0,1441416288.0,7 Lago de Tucuruí,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Nova Ipixuna,9027836469.0,8777546203.0,8221500138.0,427463491.0,7 Lago de Tucuruí,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Novo Repartimento,33521771537.0,33360120332.0,30362897379.0,2033217093.0,7 Lago de Tucuruí,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Tucuruí,68360583631.0,66946425131.0,58626107856.0,3808468946.0,7 Lago de Tucuruí,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Fonte: STN-FINBRA,,,,,7 Lago de Tucuruí,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
