EstadoMunicpios,_Participao_PIB_Estadual,_Participao_VA_Agropecuria_Estadual,_Participao_VA_Industrial_Estadual,_Participao_VA_Servios_Estadual_Exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica_Estadual,_Participao_VA_Total_Estadual,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,100.0,100.0,100.0,100.0,100.0,100.0,7 Lago de Tucuruí,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
RI Lago de Tucuruí,3.681218977073596e+16,5.3205111406000104e+16,3993805423927254.0,2.3454401009988916e+16,4995236914433534.0,3.849308588513749e+16,7 Lago de Tucuruí,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Breu Branco,3019218291946891.0,5249695188468682.0,1.432284117511849e+16,2.312574605284159e+16,7008557594745547.0,2.978835196852505e+16,7 Lago de Tucuruí,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Goianésia do Pará,1.925526308769004e+16,6920682225080995.0,1.49538272960121e+16,1.65314323859429e+16,4.614992406672464e+16,1979230664363796.0,7 Lago de Tucuruí,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Itupiranga,3200433772002274.0,1.6318711370227256e+16,2.49337230107248e+16,2.220766084653996e+16,6021793382822662.0,33624221346338.0,7 Lago de Tucuruí,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Jacundá,2.339966717486716e+16,2818309860972607.0,2669336014700640.0,3263023150946264.0,6311604398218195.0,2.333423829127064e+16,7 Lago de Tucuruí,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Nova Ipixuna,7318671736259040.0,2.434950766008386e+16,699805578448750.0,5490553262987480.0,2.009307261110312e+16,7594470106440050.0,7 Lago de Tucuruí,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Novo Repartimento,4.245504865447166e+16,1.6427892202997928e+16,2.33747270228178e+16,3.915906605006203e+16,915106500005093.0,4.341240289733267e+16,7 Lago de Tucuruí,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Tucuruí,21349672641458.0,3034869792244255.0,375362331891502.0,9539931999205252.0,1483504910071522.0,2.2738486759783044e+16,7 Lago de Tucuruí,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
Fonte: FAPESPA/IBGE,,,,,,,7 Lago de Tucuruí,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri lago de tucurui.xlsx,Lago de Tucuruí
