Par,col,1,1_2,19,3,480,2,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Tocantins,-,-,-,-,-,23,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3344,557.0
Xingu,-,-,-,-,-,-,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3344,115.0
Fonte: MEC - INEP,,,,,,,,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3344,
Elaboração: FAPESPA,,,,,,,,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3344,
Araguaia,-,-,-,-,-,5,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,437,23.0
Baixo Amazonas,-,-,-,-,-,27,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,437,50.0
Carajás,-,-,-,14,-,14,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,437,48.0
Guajará,-,1,1,1,3,269,2,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,437,184.0
Guamá,-,-,-,-,-,54,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,437,45.0
Lago de Tucuruí,-,-,-,-,-,-,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,437,14.0
Marajó,-,-,-,-,-,15,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,437,1.0
Rio Caeté,-,-,-,-,-,49,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,437,11.0
Rio Capim,-,-,-,4,-,24,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,437,19.0
Tapajós,-,-,-,-,-,-,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,437,6.0
Tocantins,-,-,-,-,-,23,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,437,27.0
Xingu,-,-,-,-,-,-,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,437,9.0
Fonte: MEC - INEP,,,,,,,,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,437,
Elaboração: FAPESPA,,,,,,,,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,437,
Araguaia,-,-,-,-,-,5,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3782,117.0
Baixo Amazonas,-,-,-,-,-,27,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3782,432.0
Carajás,-,-,-,14,-,14,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3782,212.0
Guajará,-,1,1,1,3,269,2,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3782,338.0
Guamá,-,-,-,-,-,54,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3782,473.0
Lago de Tucuruí,-,-,-,-,-,-,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3782,106.0
Marajó,-,-,-,-,-,15,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3782,413.0
Rio Caeté,-,-,-,-,-,49,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3782,267.0
Rio Capim,-,-,-,4,-,24,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3782,551.0
Tapajós,-,-,-,-,-,-,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3782,165.0
Tocantins,-,-,-,-,-,23,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3782,584.0
Xingu,-,-,-,-,-,-,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3782,124.0
Fonte: MEC - INEP,,,,,,,,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3782,
Elaboração: FAPESPA,,,,,,,,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3782,
Araguaia,-,-,-,-,-,5,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,6505,193.0
Baixo Amazonas,-,-,-,-,-,27,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,6505,1032.0
Carajás,-,-,-,14,-,14,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,6505,277.0
Guajará,-,1,1,1,3,269,2,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,6505,229.0
Guamá,-,-,-,-,-,54,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,6505,667.0
Lago de Tucuruí,-,-,-,-,-,-,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,6505,198.0
Marajó,-,-,-,-,-,15,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,6505,1032.0
Rio Caeté,-,-,-,-,-,49,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,6505,500.0
Rio Capim,-,-,-,4,-,24,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,6505,750.0
Tapajós,-,-,-,-,-,-,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,6505,292.0
Tocantins,-,-,-,-,-,23,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,6505,912.0
Xingu,-,-,-,-,-,-,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,6505,423.0
Fonte: MEC - INEP,,,,,,,,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,6505,
Elaboração: FAPESPA,,,,,,,,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,6505,
