Par,col,1,1_2,19,3,480,2,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Araguaia,-,-,-,-,-,5,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3344,94.0
Baixo Amazonas,-,-,-,-,-,27,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3344,382.0
Carajás,-,-,-,14,-,14,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3344,164.0
Guajará,-,1,1,1,3,269,2,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3344,153.0
Guamá,-,-,-,-,-,54,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3344,428.0
Lago de Tucuruí,-,-,-,-,-,-,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3344,92.0
Marajó,-,-,-,-,-,15,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3344,412.0
Rio Caeté,-,-,-,-,-,49,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3344,256.0
Rio Capim,-,-,-,4,-,24,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3344,532.0
Tapajós,-,-,-,-,-,-,-,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS,3344,159.0
