Regio_de_Integrao,Municpios,Nome_do_Hospital,Tipo,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
,,HOSPITAL SAO LUCAS ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,HOSPITAL SAO VICENTE ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,INSTITUTO SINAI SERVICOS MEDICOS S A ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,ARUS DAY HOSPITAL ,Hospital/Dia,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,Rio Maria,CLINICA BELLA PLASTICA ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,HOSPITAL MUNICIPAL DE RIO MARIA ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,HOSPITAL REGIONAL DE RIO MARIA ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,Santa Maria das Barreiras,HOSPITAL DISTRITAL DE CASA DE TABUA ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,HOSPITAL MUNICIPAL DE SANTA MARIA DAS BARREIRAS ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,Santana do Araguaia,MATERNIDADE MUNICIPAL DR JOAO CARLOS FERREIRA REIS ,Hospital Especializado,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
