Par,913,97,978,981,97_2,67,09,0,15,11,2,21,22,04,19,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Araguaia,807.0,9720666666666668.0,-,9688750000000000.0,9712000000000000.0,117.0,9866666666666668.0,-,2075.0,1.1266666666666668e+16,76.0,1.8066666666666668e+16,-,10375.0,1.7533333333333334e+16,1 Pará,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Baixo Amazonas,946.0,9793076923076924.0,-,9336.0,9780769230769228.0,28.0,7230769230769231.0,-,2.28e+16,7615384615384614.0,26.0,1.3461538461538464e+16,-,436.0,1.4307692307692306e+16,1 Pará,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Carajás,927.0,9599166666666668.0,-,9855.0,9598333333333336.0,565.0,13.0,-,14.0,1.3666666666666664e+16,165.0,2.7083333333333332e+16,-,5.0,265.0,1 Pará,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Guajará,929.0,9782000000000000.0,98.8,98525.0,9786000000000000.0,52.0,52.0,0,925.0,64.0,19.0,1.66e+16,1.2,55.0,15.0,1 Pará,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Guamá,9585.0,9770000000000000.0,-,9941666666666668.0,9777777777777776.0,29.0,1.0277777777777776e+16,-,5333333333333333.0,1.022222222222222e+16,125.0,1.272222222222222e+16,-,4.99999999999999e+16,12.0,1 Pará,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Lago de Tucuruí,953.0,9732857142857142.0,-,9742500000000000.0,9728571428571428.0,35.0,1.4285714285714286e+16,-,45.0,1385714285714286.0,12.0,1.2428571428571428e+16,-,2125.0,1.3285714285714284e+16,1 Pará,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Marajó,958.0,9548235294117648.0,-,9096666666666664.0,9550588235294120.0,32.0,1.2058823529411762e+16,-,7133333333333333.0,1.2235294117647058e+16,1.0,3.3117647058823524e+16,-,1.9e+16,3.2705882352941176e+16,1 Pará,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Rio Caeté,887.0,9488000000000002.0,-,987.0,9494000000000000.0,85.0,7466666666666666.0,-,12.0,7733333333333334.0,28.0,4373333333333334.0,-,9999999999999990.0,4286666666666666.0,1 Pará,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Rio Capim,935.0,943375.0,-,982.0,9445000000000000.0,63.0,1025.0,-,8600000000000001.0,1075.0,2.0,46375.0,-,9400000000000000.0,4475.0,1 Pará,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Tapajós,818.0,9598333333333332.0,-,9675.0,958.0,117.0,1.3666666666666664e+16,-,245.0,1.5166666666666666e+16,65.0,265.0,-,8.0,2.6833333333333336e+16,1 Pará,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 para.xlsx",RIS
