EstadoRIs,Mdicos,Assistente_Social,Bioqumico_farmacutico,Cirurgio_Geral,Clnico_Geral,Enfermeiro,Fisioterapeuta,Fonoaudilogo,Gineco_Obstetra,Mdico_de_Famlia,Nutricionista,Odontlogo,Pediatra,Psiclogo,Psiquiatra,Radiologista,Sanitarista,Outras_especialidades_mdicas,Outras_ocupaes_de_nvel_superior_relac__Sade,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,11070.0,1788.0,1859.0,253.0,4015.0,12101.0,2528.0,631.0,465.0,1648.0,1215.0,3725.0,757.0,1973.0,101.0,290.0,3.0,3142.0,2313.0,1 Pará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para.xlsx,RIS
Araguaia,536.0,84.0,98.0,17.0,241.0,710.0,113.0,20.0,21.0,94.0,55.0,256.0,27.0,98.0,6.0,12.0,0.0,90.0,174.0,1 Pará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para.xlsx,RIS
Baixo Amazonas,755.0,85.0,165.0,26.0,272.0,1165.0,236.0,35.0,29.0,175.0,62.0,217.0,34.0,133.0,2.0,13.0,0.0,188.0,92.0,1 Pará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para.xlsx,RIS
Carajás,1096.0,152.0,203.0,30.0,510.0,1053.0,254.0,95.0,60.0,107.0,148.0,557.0,76.0,288.0,12.0,44.0,0.0,238.0,257.0,1 Pará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para.xlsx,RIS
Guajará,5731.0,753.0,781.0,131.0,1861.0,4140.0,1117.0,337.0,266.0,351.0,506.0,1232.0,459.0,871.0,50.0,154.0,3.0,2166.0,1081.0,1 Pará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para.xlsx,RIS
Guamá,410.0,126.0,92.0,6.0,209.0,811.0,138.0,29.0,10.0,106.0,77.0,265.0,17.0,105.0,1.0,6.0,0.0,52.0,115.0,1 Pará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para.xlsx,RIS
Lago de Tucuruí,280.0,74.0,47.0,9.0,127.0,613.0,94.0,11.0,8.0,62.0,40.0,108.0,27.0,56.0,3.0,8.0,0.0,36.0,60.0,1 Pará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para.xlsx,RIS
Marajó,285.0,61.0,38.0,4.0,79.0,513.0,65.0,13.0,1.0,165.0,39.0,118.0,10.0,47.0,2.0,2.0,0.0,20.0,78.0,1 Pará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para.xlsx,RIS
Rio Caeté,388.0,125.0,87.0,5.0,155.0,677.0,113.0,16.0,6.0,142.0,72.0,268.0,16.0,91.0,6.0,6.0,0.0,49.0,92.0,1 Pará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para.xlsx,RIS
Rio Capim,379.0,96.0,74.0,4.0,148.0,608.0,105.0,18.0,5.0,141.0,63.0,255.0,18.0,83.0,7.0,6.0,0.0,48.0,106.0,1 Pará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para.xlsx,RIS
Tapajós,219.0,28.0,45.0,11.0,55.0,394.0,63.0,7.0,6.0,66.0,19.0,56.0,13.0,22.0,2.0,7.0,0.0,49.0,33.0,1 Pará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 para.xlsx,RIS
