EstadoRIs,PIB_R_1000,Populao,PIB_Per_capita,Razo_PIB_Per_capita_entre_RIs_e_Par_R_100,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,8121025.0,3.1295764606916276e+16,1.0,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS
RI Araguaia,1.833403558e+16,454710.0,4032028233379517.0,1.2883622701100106e+16,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS
RI Baixo Amazonas,18171394499.0,785819.0,2312414754415457.0,7388906401425387.0,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS
RI Carajás,5698908713.0,763106.0,7468043381915489.0,2.3862792539873184e+16,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS
RI Guajará,5842880982700001.0,1978620.0,2953008148457006.0,9435807642176602.0,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS
RI Guamá,14857088622.0,658986.0,2254537823565296.0,72039710544955.0,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS
RI Lago de Tucuruí,10272714811.0,325528.0,3155708513860559.0,1.0083500286691052e+16,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS
RI Marajó,8302943429.0,591064.0,1.4047452440006496e+16,4488611355704679.0,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS
RI Rio Caeté,8368944128999999.0,493001.0,1.6975511467522378e+16,5424220076019756.0,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS
RI Rio Capim,1.6965107503999996e+16,619981.0,2.73639151909494e+16,8743648073356882.0,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS
