EstadoRIs,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS,PIB_R_1000,2.5454651119799996e+16
RI Araguaia,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS,PIB_R_1000,1.833403558e+16
RI Baixo Amazonas,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS,PIB_R_1000,18171394499.0
RI Carajás,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS,PIB_R_1000,5698908713.0
RI Guajará,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS,PIB_R_1000,5842880982700001.0
RI Guamá,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS,PIB_R_1000,14857088622.0
RI Lago de Tucuruí,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS,PIB_R_1000,10272714811.0
RI Marajó,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS,PIB_R_1000,8302943429.0
RI Rio Caeté,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS,PIB_R_1000,8368944128999999.0
RI Rio Capim,1 Pará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri para.xlsx",RIS,PIB_R_1000,1.6965107503999996e+16
