EstadoMunicpio,Creche,PrEscola,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,161.0,178.0,214.0,301.0,12 Tocantins,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
RI Tocantins,1.6249999999999996e+16,1877.0,2.178e+16,3.0910000000000004e+16,12 Tocantins,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Abaetetuba,174.0,19.0,221.0,275.0,12 Tocantins,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Acará,211.0,209.0,222.0,345.0,12 Tocantins,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Baião,122.0,143.0,182.0,27.0,12 Tocantins,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Barcarena,203.0,213.0,281.0,325.0,12 Tocantins,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Cametá,128.0,161.0,187.0,298.0,12 Tocantins,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Igarapé-Miri,143.0,203.0,244.0,341.0,12 Tocantins,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Limoeiro do Ajuru,143.0,157.0,161.0,272.0,12 Tocantins,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Mocajuba,146.0,18.0,207.0,284.0,12 Tocantins,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Moju,179.0,212.0,224.0,333.0,12 Tocantins,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Tailândia,176.0,209.0,249.0,348.0,12 Tocantins,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Fonte: MEC - INEP,,,,,12 Tocantins,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Elaboração: FAPESPA,,,,,12 Tocantins,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
