Par,9274,290432,1084062,45449,148884,233792,17516,1213359,152720,21320,15601,70569,266576,3966227,4640906,4610,96067,161718,477562,1759249,1562172,1192224,3751973,7307684,127,2802,12167,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Tocantins,146,3369,10107,2521.0,3719.0,5551.0,115,6552,2949,628,387,1590,65030.0,1107736.0,942506.0,140,3299,5842,23362.0,57192.0,58377.0,17500,52500,113715,0,0,0,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins
Abaetetuba,15,363,1089,60.0,114.0,154.0,100,5700,2565,75,45,203,2050.0,30600.0,22950.0,5,131,236,90.0,207.0,207.0,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins
Acará,5,121,363,50.0,46.0,92.0,-,-,-,50,35,172,20300.0,406000.0,424855.0,-,-,-,50.0,146.0,219.0,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins
Baião,-,-,-,150.0,68.0,88.0,-,-,-,-,-,-,20000.0,374700.0,262290.0,-,-,-,800.0,1682.0,2187.0,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins
Barcarena,20,486,1458,12.0,23.0,32.0,5,290,131,50,30,138,1550.0,24800.0,21080.0,5,110,209,300.0,690.0,690.0,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins
Cametá,16,192,576,250.0,180.0,270.0,-,-,-,180,108,324,7000.0,64400.0,41860.0,-,-,-,264.0,211.0,274.0,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins
Igarapé-Miri,5,122,366,14.0,27.0,39.0,10,562,253,18,12,54,2030.0,16962.0,14418.0,5,108,194,40.0,92.0,92.0,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins
Limoeiro do Ajuru,5,85,255,5.0,3.0,5.0,-,-,-,5,2,5,700.0,6020.0,4024.0,-,-,-,18.0,14.0,18.0,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins
Mocajuba,-,-,-,500.0,300.0,450.0,-,-,-,-,-,-,4000.0,42000.0,29400.0,-,-,-,3000.0,1800.0,2340.0,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins
