Municpios,Nome_do_Hospital,Tipo,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Abaetetuba,HOSPITAL JULIA SEFER ,Hospital Geral,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
,HOSPITAL MUNICIPAL SAO BENTO ,Hospital Geral,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
,HOSPITAL REGIONAL DO BAIXO TOCANTINS HOSPITAL SANTA ROSA ,Hospital Geral,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
,CLINICA DR ALESSANDRO LOBATO ,Hospital/Dia,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
Acará,HOSPITAL MUNICIPAL DE ACARA ,Hospital Geral,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
Baião,HOSPITAL MUNICIPAL SAO JOAQUIM ,Hospital Geral,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
Barcarena,HOSPITAL REGIONAL PUBLICO MATERNO INFANTIL DE BARCARENA ,Hospital Especializado,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
,CST CENTRO DE SAUDE TOP ,Hospital Geral,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
,HOSPITAL ADVENTISTA DE BARCARENA ,Hospital Geral,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
,HOSPITAL MUNICIPAL DR AFONSO RODRIGUES ALMEIDA NEVES ,Hospital Geral,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
,HOSPITAL MUNICIPAL WANDICK GUTIERREZ ,Hospital Geral,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
Cametá,HOEC HOSPITAL DE OLHOS E ESPECIALIDADES DE CAMETA ,Hospital Especializado,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
,HOSPITAL DE CAMETA ,Hospital Geral,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
,HOSPITAL REGIONAL DE CAMETA ,Hospital Geral,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
Igarapé-Miri,HOSPITAL DR AFONSO RODRIGUES ,Hospital Geral,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
,HOSPITAL E MATERNIDADE SANTANA ,Hospital Geral,12 Tocantins,19,Caracterização Hospitalar por  Tipo - 2025 ri tocantins,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri tocantins.xlsx,Tocantins
