Par,48,42,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Tocantins,4279999999999999.0,3.790000000000001e+16,12 Tocantins,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins.xlsx,Tocantins
Abaetetuba,44.0,45.0,12 Tocantins,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins.xlsx,Tocantins
Acará,43.0,35.0,12 Tocantins,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins.xlsx,Tocantins
Baião,39.0,38.0,12 Tocantins,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins.xlsx,Tocantins
Barcarena,45.0,39.0,12 Tocantins,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins.xlsx,Tocantins
Cametá,41.0,35.0,12 Tocantins,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins.xlsx,Tocantins
Igarapé-Miri,4.0,35.0,12 Tocantins,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins.xlsx,Tocantins
Limoeiro do Ajuru,42.0,41.0,12 Tocantins,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins.xlsx,Tocantins
Mocajuba,42.0,31.0,12 Tocantins,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins.xlsx,Tocantins
Moju,49.0,42.0,12 Tocantins,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins.xlsx,Tocantins
Tailândia,43.0,38.0,12 Tocantins,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins.xlsx,Tocantins
Fonte: MEC - INEP,,,12 Tocantins,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins.xlsx,Tocantins
Elaboração: FAPESPA,,,12 Tocantins,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri tocantins.xlsx,Tocantins
