EstadoRIs,PIB_R_1000,Ranking_Estadual,Ranking_Regional,Partipao_no_Par_,Partipao_na_Regio_,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
1 Pará,2.5454651119799996e+16,,-,100.0,,1 Pará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 para",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para.xlsx",RIS
RI Araguaia,1.833403558e+16,4.0,-,7202626935923237.0,100.0,1 Pará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 para",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para.xlsx",RIS
RI Baixo Amazonas,18171394499.0,5.0,-,7.138732490764848e+16,100.0,1 Pará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 para",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para.xlsx",RIS
RI Carajás,5698908713.0,2.0,-,2238847700633808.0,100.0,1 Pará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 para",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para.xlsx",RIS
RI Guajará,5842880982700001.0,1.0,-,2.2954080003693684e+16,100.0,1 Pará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 para",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para.xlsx",RIS
RI Guamá,14857088622.0,7.0,-,5836689158329637.0,100.0,1 Pará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 para",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para.xlsx",RIS
RI Lago de Tucuruí,10272714811.0,9.0,-,403569263733076.0,100.0,1 Pará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 para",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para.xlsx",RIS
RI Marajó,8302943429.0,11.0,-,3.261857092412288e+16,100.0,1 Pará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 para",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para.xlsx",RIS
RI Rio Caeté,8368944128999999.0,10.0,-,3.2877858312071636e+16,100.0,1 Pará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 para",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para.xlsx",RIS
RI Rio Capim,1.6965107503999996e+16,6.0,-,6664835995651744.0,100.0,1 Pará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 para",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para.xlsx",RIS
RI Tapajós,7367915524.0,12.0,-,2894526226002304.0,100.0,1 Pará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 para",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para.xlsx",RIS
RI Tocantins,22727645503.0,3.0,-,892868081201915.0,100.0,1 Pará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 para",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para.xlsx",RIS
RI Xingu,1376082464.0,8.0,-,5406015810327132.0,100.0,1 Pará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 para",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para.xlsx",RIS
Fonte: FAPESPA/IBGE,,,,,,1 Pará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 para",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para.xlsx",RIS
Elaboração: FAPESPA,,,,,,1 Pará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 para",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 para.xlsx",RIS
