Par,118515,3181875711935198,8295152512340211,23502510230772476,6234231953761127,2678142007340843,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Araguaia,6981.0,7019051711789142.0,3.982237501790575e+16,2.025497779687724e+16,74960607362842.0,1.002721673112734e+16,1 Pará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para.xlsx,RIS
Baixo Amazonas,13667.0,9292456281554108.0,6921782395551328.0,2.089705129143192e+16,7108363210653398.0,1.682885783273578e+16,1 Pará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para.xlsx,RIS
Carajás,12405.0,1.0963321241434904e+16,6569931479242241.0,2.1249496170898836e+16,709471987101975.0,1370415155179363.0,1 Pará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para.xlsx,RIS
Guajará,22295.0,7.938999775734469e+16,9813859609777976.0,2.5629064812738284e+16,5531733572549899.0,1.3007400762502804e+16,1 Pará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para.xlsx,RIS
Guamá,8529.0,253253605346465.0,5592683784734436.0,2.1960370500644856e+16,6956266854261929.0,3.517411185367569e+16,1 Pará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para.xlsx,RIS
Lago de Tucuruí,4788.0,7309941520467835.0,6599832915622389.0,2291144527986633.0,6317878028404345.0,6578947368421052.0,1 Pará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para.xlsx,RIS
Marajó,11390.0,6172080772607551.0,1.8568920105355572e+16,3.1264266900790164e+16,4.226514486391572e+16,1.729587357330992e+16,1 Pará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para.xlsx,RIS
Rio Caeté,6784.0,1960495283018868.0,5616155660377359.0,2038620283018868.0,7186025943396226.0,1768867924528302.0,1 Pará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para.xlsx,RIS
Rio Capim,8936.0,1.6450313339301704e+16,4532229185317815.0,1.8610116383169204e+16,5713965980304386.0,1.8072963294538944e+16,1 Pará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para.xlsx,RIS
Tapajós,4270.0,2.1545667447306796e+16,1.0257611241217798e+16,2416861826697892.0,6330210772833723.0,117096018735363.0,1 Pará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para.xlsx,RIS
Tocantins,12134.0,1.9943959123125104e+16,7664414043184441.0,2642986649085215.0,5857919894511291.0,5332124608537992.0,1 Pará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para.xlsx,RIS
Xingu,6336.0,1.9097222222222224e+16,8554292929292929.0,2.2380050505050504e+16,669034090909091.0,2.525252525252525e+16,1 Pará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para.xlsx,RIS
Fonte: DATASUS,,,,,,,1 Pará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para.xlsx,RIS
Elaboração: FAPESPA,,,,,,,1 Pará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para.xlsx,RIS
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,,1 Pará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 para.xlsx,RIS
